Reservoir,Site,Date,Time,Depth_m,Filter,Fe_mgL,Mn_mgL,count_Fe_mgL,count_Mn_mgL
BVR,50,2014-09-25,NA      ,0.1,S,0.2285,0.0098,1,1
BVR,50,2014-09-25,NA      ,0.1,T,0.3766,0.0202,1,1
BVR,50,2014-09-25,NA      ,4,S,0.2415,0.0103,1,1
BVR,50,2014-09-25,NA      ,4,T,0.3381,0.0202,1,1
BVR,50,2014-09-25,NA      ,8,S,7.186,2.118,1,1
BVR,50,2014-09-25,NA      ,8,T,7.359,2.118,1,1
BVR,50,2014-09-25,NA      ,11,S,34.79,3.412,1,1
BVR,50,2014-09-25,NA      ,11,T,34.79,3.412,1,1
BVR,50,2015-05-14,NA      ,0.1,S,0.119,0.0027,1,1
BVR,50,2015-05-14,NA      ,0.1,T,0.216,0.0156,1,1
BVR,50,2015-05-14,NA      ,3,S,0.0737,0.0024,1,1
BVR,50,2015-05-14,NA      ,3,T,0.1721,0.0159,1,1
BVR,50,2015-05-14,NA      ,6,S,0.0247,0.0025,1,1
BVR,50,2015-05-14,NA      ,6,T,0.1618,0.0453,1,1
BVR,50,2015-05-14,NA      ,9,S,0.5993,0.8174,1,1
BVR,50,2015-05-14,NA      ,9,T,2.106,0.8174,1,1
BVR,50,2015-05-14,NA      ,11,S,6.126,1.526,1,1
BVR,50,2015-05-14,NA      ,11,T,7.913,1.609,1,1
BVR,50,2015-05-21,NA      ,0.1,S,0.124,0.0021,1,1
BVR,50,2015-05-21,NA      ,0.1,T,0.2436,0.0205,1,1
BVR,50,2015-05-21,NA      ,3,S,0.097,0.0032,1,1
BVR,50,2015-05-21,NA      ,3,T,0.2223,0.0262,1,1
BVR,50,2015-05-21,NA      ,6,S,0.0404,0.0034,1,1
BVR,50,2015-05-21,NA      ,6,T,0.1547,0.0339,1,1
BVR,50,2015-05-21,NA      ,9,S,1.885,1.024,1,1
BVR,50,2015-05-21,NA      ,9,T,2.726,1.024,1,1
BVR,50,2015-05-21,NA      ,11,S,5.896,1.392,1,1
BVR,50,2015-05-21,NA      ,11,T,7.573,1.443,1,1
BVR,50,2015-05-28,NA      ,0.1,S,0.1001,5e-4,1,1
BVR,50,2015-05-28,NA      ,0.1,T,0.2116,0.0132,1,1
BVR,50,2015-05-28,NA      ,3,S,0.1046,0.0012,1,1
BVR,50,2015-05-28,NA      ,3,T,0.21560000000000001,0.0166,1,1
BVR,50,2015-05-28,NA      ,6,S,0.0339,0.0892,1,1
BVR,50,2015-05-28,NA      ,6,T,0.2524,0.1691,1,1
BVR,50,2015-05-28,NA      ,9,S,0.6325,1.071,1,1
BVR,50,2015-05-28,NA      ,9,T,2.114,1.123,1,1
BVR,50,2015-05-28,NA      ,11,S,8.681,1.631,1,1
BVR,50,2015-05-28,NA      ,11,T,13.76,1.87,1,1
BVR,50,2015-06-04,NA      ,0.1,S,0.0932,0.0024,1,1
BVR,50,2015-06-04,NA      ,0.1,T,0.2207,0.0226,1,1
BVR,50,2015-06-04,NA      ,3,S,0.0925,0.0027,1,1
BVR,50,2015-06-04,NA      ,3,T,0.2201,0.0214,1,1
BVR,50,2015-06-04,NA      ,6,S,0.0102,0.0294,1,1
BVR,50,2015-06-04,NA      ,6,T,0.1165,0.0729,1,1
BVR,50,2015-06-04,NA      ,9,S,3.32,1.468,1,1
BVR,50,2015-06-04,NA      ,9,T,4.579,1.687,1,1
BVR,50,2015-06-04,NA      ,11,S,11.4,2.021,1,1
BVR,50,2015-06-04,NA      ,11,T,11.4,2.035,1,1
BVR,50,2015-06-11,NA      ,0.1,S,0.1108,0.0026,1,1
BVR,50,2015-06-11,NA      ,0.1,T,0.2365,0.0127,1,1
BVR,50,2015-06-11,NA      ,3,S,0.1125,0.0035,1,1
BVR,50,2015-06-11,NA      ,3,T,0.227,0.0132,1,1
BVR,50,2015-06-11,NA      ,6,S,0.0451,0.1878,1,1
BVR,50,2015-06-11,NA      ,6,T,0.4327,0.2453,1,1
BVR,50,2015-06-11,NA      ,9,S,2.537,1.398,1,1
BVR,50,2015-06-11,NA      ,9,T,3.609,1.498,1,1
BVR,50,2015-06-11,NA      ,11,S,9.015,1.781,1,1
BVR,50,2015-06-11,NA      ,11,T,11.75,1.932,1,1
BVR,50,2015-06-25,NA      ,0.1,S,0.1601,5e-4,1,1
BVR,50,2015-06-25,NA      ,0.1,T,0.3262,0.0176,1,1
BVR,50,2015-06-25,NA      ,3,S,0.1357,0.001,1,1
BVR,50,2015-06-25,NA      ,3,T,0.3557,0.0215,1,1
BVR,50,2015-06-25,NA      ,6,S,0.0819,0.2402,1,1
BVR,50,2015-06-25,NA      ,6,T,0.3736,0.3027,1,1
BVR,50,2015-06-25,NA      ,9,S,6.896,1.905,1,1
BVR,50,2015-06-25,NA      ,9,T,7.103,1.905,1,1
BVR,50,2015-06-25,NA      ,11,S,7.691,1.561,1,1
BVR,50,2015-06-25,NA      ,11,T,8.594,1.562,1,1
BVR,50,2015-07-02,NA      ,0.1,S,0.1806,7.6e-4,1,1
BVR,50,2015-07-02,NA      ,0.1,T,0.3654,0.01858,1,1
BVR,50,2015-07-02,NA      ,3,S,0.1823,0.00313,1,1
BVR,50,2015-07-02,NA      ,3,T,0.371,0.02293,1,1
BVR,50,2015-07-02,NA      ,6,S,0.1446,0.2887,1,1
BVR,50,2015-07-02,NA      ,6,T,0.806,0.4286,1,1
BVR,50,2015-07-02,NA      ,9,S,6.832,2.259,1,1
BVR,50,2015-07-02,NA      ,9,T,8.304,2.415,1,1
BVR,50,2015-07-02,NA      ,11,S,21.14,2.756,1,1
BVR,50,2015-07-02,NA      ,11,T,21.87,2.762,1,1
BVR,50,2015-07-09,NA      ,0.1,S,0.1866,7.4e-4,1,1
BVR,50,2015-07-09,NA      ,0.1,T,0.3709,0.01782,1,1
BVR,50,2015-07-09,NA      ,3,S,0.1861,0.00237,1,1
BVR,50,2015-07-09,NA      ,3,T,0.3677,0.02031,1,1
BVR,50,2015-07-09,NA      ,6,S,0.118,0.5338,1,1
BVR,50,2015-07-09,NA      ,6,T,0.6576,0.5736,1,1
BVR,50,2015-07-09,NA      ,9,S,7.798,3.285,1,1
BVR,50,2015-07-09,NA      ,9,T,8.897,3.359,1,1
BVR,50,2015-07-09,NA      ,11,S,24.71,3.038,1,1
BVR,50,2015-07-09,NA      ,11,T,25.96,3.082,1,1
BVR,50,2015-07-16,NA      ,0.1,S,0.1835,6.1e-4,1,1
BVR,50,2015-07-16,NA      ,0.1,T,0.3971,0.02336,1,1
BVR,50,2015-07-16,NA      ,3,S,0.1839,0.00329,1,1
BVR,50,2015-07-16,NA      ,3,T,0.4709,0.03028,1,1
BVR,50,2015-07-16,NA      ,6,S,0.1762,0.3855,1,1
BVR,50,2015-07-16,NA      ,6,T,0.8125,0.5636,1,1
BVR,50,2015-07-16,NA      ,9,S,6.51,2.544,1,1
BVR,50,2015-07-16,NA      ,9,T,7.199,2.544,1,1
BVR,50,2015-07-16,NA      ,11,S,17.83,2.993,1,1
BVR,50,2015-07-16,NA      ,11,T,18.15,2.993,1,1
BVR,50,2015-07-23,NA      ,0.1,S,0.1655,3.7e-4,1,1
