sep=	
No. 	Hole  Pos.	Name  	Method  	Coefficients  	NPOC vol. [ml]	TIC vol. [ml]	TC vol. [ml]	TIC  Area	TC  Area	NPOC  Area	TNb  Area	TIC [mg/l]	TC [mg/l]	TOC (Diff.) [mg/l]	NPOC [mg/l]	TNb [mg/l]	Dilut.  Factor	TC  Blank	TIC  Blank	NPOC  Blank	TNb  Blank	Memo  	Info  	Date	Time	
1	1	RunIn	TIC/TC/TNb			0.300	0.300	4448	10668		5909	6.379	15.528	9.149		0.837	1.00	0	0		0			2024-02-02	16:42:01	
2	1	RunIn	TIC/TC/TNb			0.300	0.300	4658	10391		5900	6.647	15.136	8.489		0.835	1.00	0	0		0			2024-02-02	17:05:19	
3	1	RunIn	TIC/TC/TNb			0.300	0.300	4764	10102		5860	6.783	14.728	7.944		0.828	1.00	0	0		0			2024-02-02	17:15:45	
4	3	Rinse	TIC/TC/TNb			0.500	0.500	2166	976		558	2.077	1.105	0.000		0.000	1.00	0	0		0			2024-02-02	17:33:38	
5	3	Rinse	TIC/TC/TNb			0.500	0.500	611	882		570	0.883	1.026	0.143		0.000	1.00	0	0		0			2024-02-02	17:42:42	
6	3	Rinse	TIC/TC/TNb			0.500	0.500	550	868		637	0.837	1.014	0.177		0.000	1.00	0	0		0			2024-02-02	17:52:30	
7	3		Flush																					2024-02-02	17:57:54	
8	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	56	225		367	0.458	0.469	0.011		0.000	1.00	0	0		0			2024-02-02	18:12:53	
9	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	111	181		434	0.500	0.432	0.000		0.000	1.00	0	0		0			2024-02-02	18:21:06	
10	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	1	272		410	0.416	0.509	0.093		0.000	1.00	0	0		0			2024-02-02	18:29:59	
11	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	729	2255		1222	2.435	5.473	3.038		0.030	1.00	0	0		0			2024-02-02	18:46:01	
12	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	1221	2302		1204	3.380	5.571	2.191		0.025	1.00	0	0		0			2024-02-02	18:54:56	
13	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	1293	2297		1212	3.518	5.561	2.044		0.027	1.00	0	0		0			2024-02-02	19:04:40	
14	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	4425	7646		3434	3.175	5.630	2.456		0.203	1.00	0	0		0			2024-02-02	19:24:20	
15	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	4522	7762		3478	3.237	5.712	2.475		0.206	1.00	0	0		0			2024-02-02	19:35:17	
16	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	4664	7692		3372	3.327	5.663	2.335		0.197	1.00	0	0		0			2024-02-02	19:47:13	
17	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	4896	11582		5495	6.262	15.151	8.889		0.689	1.00	0	0		0			2024-02-02	20:06:24	
18	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	6247	11682		5418	7.819	15.278	7.458		0.677	1.00	0	0		0			2024-02-02	20:17:46	
19	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	5712	11643		5435	7.203	15.228	8.026		0.679	1.00	0	0		0			2024-02-02	20:28:37	
20	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	8593	16708		7786	7.502	15.453	7.951		0.748	1.00	0	0		0			2024-02-02	20:49:07	
21	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	9003	16912		7827	7.839	15.638	7.799		0.752	1.00	0	0		0			2024-02-02	21:00:39	
22	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	8985	16803		7682	7.825	15.539	7.715		0.736	1.00	0	0		0			2024-02-02	21:12:37	
23	8	Mixed Check 9/18/0.9	TIC/TC/TNb			0.600	0.600	11224	21376		9610	7.522	15.323	7.802		0.741	1.00	0	0		0			2024-02-02	21:35:20	
24	8	Mixed Check 9/18/0.9	TIC/TC/TNb			0.600	0.600	11729	21465		9542	7.844	15.386	7.542		0.735	1.00	0	0		0			2024-02-02	21:48:37	
25	8	Mixed Check 9/18/0.9	TIC/TC/TNb			0.600	0.600	11699	21482		9428	7.825	15.398	7.573		0.725	1.00	0	0		0			2024-02-02	22:01:55	
26	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	4780	9484		5482	6.804	13.856	7.052		0.762	1.00	0	0		0			2024-02-02	22:21:01	
27	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	4619	9547		5406	6.597	13.944	7.347		0.749	1.00	0	0		0			2024-02-02	22:31:21	
28	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	4615	9380		5351	6.592	13.709	7.116		0.739	1.00	0	0		0			2024-02-02	22:42:23	
29	2	Spiked Blank 100ml + 300uL	TIC/TC/TNb			0.500	0.500	4610	7212		3092	3.952	6.388	2.436		0.207	1.00	0	0		0			2024-02-02	23:02:03	
30	2	Spiked Blank 100ml + 300uL	TIC/TC/TNb			0.500	0.500	3791	6901		2979	3.323	6.125	2.802		0.196	1.00	0	0		0			2024-02-02	23:12:45	
31	2	Spiked Blank 100ml + 300uL	TIC/TC/TNb			0.500	0.500	3853	6570		2821	3.371	5.844	2.473		0.179	1.00	0	0		0			2024-02-02	23:23:04	
32	3	Rinse	TIC/TC/TNb			0.500	0.500	1565	519		528	1.615	0.718	0.000		0.000	1.00	0	0		0			2024-02-02	23:47:24	
33	9	F50 31oct23 5	TIC/TC/TNb			0.500	0.500	4235	8330		4767	3.664	7.335	3.672		0.383	1.00	0	0		0			2024-02-03	00:06:07	
34	9	F50 31oct23 5	TIC/TC/TNb			0.500	0.500	5318	8313		4818	4.495	7.321	2.826		0.388	1.00	0	0		0			2024-02-03	00:16:46	
35	9	F50 31oct23 5	TIC/TC/TNb			0.500	0.500	5320	8344		4700	4.497	7.348	2.851		0.376	1.00	0	0		0			2024-02-03	00:28:31	
36	10	C100 1jun23 0.1	TIC/TC/TNb			0.500	0.500	3263	5180		1702	2.918	4.667	1.749		0.062	1.00	0	0		0			2024-02-03	00:47:12	
37	10	C100 1jun23 0.1	TIC/TC/TNb			0.500	0.500	2538	5344		1744	2.362	4.806	2.444		0.066	1.00	0	0		0			2024-02-03	00:57:30	
38	10	C100 1jun23 0.1	TIC/TC/TNb			0.500	0.500	2525	5184		1723	2.352	4.670	2.318		0.064	1.00	0	0		0			2024-02-03	01:08:24	
39	11	C300 1jun23 0.1	TIC/TC/TNb			0.500	0.500	2222	3954		1153	2.120	3.628	1.508		0.005	1.00	0	0		0			2024-02-03	01:26:42	
40	11	C300 1jun23 0.1	TIC/TC/TNb			0.500	0.500	2286	3942		1137	2.169	3.618	1.449		0.003	1.00	0	0		0			2024-02-03	01:36:49	
41	11	C300 1jun23 0.1	TIC/TC/TNb			0.500	0.500	1874	3573		1152	1.853	3.305	1.453		0.004	1.00	0	0		0			2024-02-03	01:46:42	
42	12	C100 29jun23 pool BOT	TIC/TC/TNb			0.500	0.500	3674	6612		3577	3.233	5.880	2.647		0.258	1.00	0	0		0			2024-02-03	02:05:03	
43	12	C100 29jun23 pool BOT	TIC/TC/TNb			0.500	0.500	4335	6614		3590	3.741	5.882	2.142		0.259	1.00	0	0		0			2024-02-03	02:15:27	
44	12	C100 29jun23 pool BOT	TIC/TC/TNb			0.500	0.500	4277	6656		3499	3.696	5.917	2.221		0.250	1.00	0	0		0			2024-02-03	02:26:35	
45	13	C300 1jun23 cove BOT	TIC/TC/TNb			0.500	0.500	5945	9074		1946	4.976	7.966	2.990		0.088	1.00	0	0		0			2024-02-03	02:45:37	
46	13	C300 1jun23 cove BOT	TIC/TC/TNb			0.500	0.500	6577	9080		1949	5.461	7.971	2.511		0.088	1.00	0	0		0			2024-02-03	02:56:20	
47	13	C300 1jun23 cove BOT	TIC/TC/TNb			0.500	0.500	6663	9106		1943	5.526	7.993	2.467		0.087	1.00	0	0		0			2024-02-03	03:08:01	
48	14	B50 14nov23 0.1	TIC/TC/TNb			0.500	0.500	4196	8423		4605	3.634	7.415	3.781		0.366	1.00	0	0		0			2024-02-03	03:26:46	
49	14	B50 14nov23 0.1	TIC/TC/TNb			0.500	0.500	3906	8447		4809	3.412	7.435	4.023		0.387	1.00	0	0		0			2024-02-03	03:37:05	
50	14	B50 14nov23 0.1	TIC/TC/TNb			0.500	0.500	3987	8353		4796	3.474	7.355	3.882		0.386	1.00	0	0		0			2024-02-03	03:48:17	
51	15	F100 4dec23 0.1	TIC/TC/TNb			0.500	0.500	4154	6355		1118	3.602	5.663	2.061		0.001	1.00	0	0		0			2024-02-03	04:07:01	
52	15	F100 4dec23 0.1	TIC/TC/TNb			0.500	0.500	4345	6267		1150	3.748	5.588	1.840		0.004	1.00	0	0		0			2024-02-03	04:17:22	
53	15	F100 4dec23 0.1	TIC/TC/TNb			0.500	0.500	4377	6372		1147	3.773	5.677	1.904		0.004	1.00	0	0		0			2024-02-03	04:28:36	
54	16	F50 31oct23 9	TIC/TC/TNb			0.500	0.500	5587	8261		11247	4.701	7.277	2.576		1.060	1.00	0	0		0			2024-02-03	04:47:27	
55	16	F50 31oct23 9	TIC/TC/TNb			0.500	0.500	6470	8273		11309	5.379	7.287	1.909		1.067	1.00	0	0		0			2024-02-03	04:58:55	
56	16	F50 31oct23 9	TIC/TC/TNb			0.500	0.500	6189	8259		11355	5.163	7.276	2.113		1.072	1.00	0	0		0			2024-02-03	05:10:13	
57	17	C100 30jun23 coveA BOT	TIC/TC/TNb			0.500	0.500	9171	9862		2079	7.451	8.634	1.183		0.101	1.00	0	0		0		TICpe	2024-02-03	05:34:28	
58	17	C100 30jun23 coveA BOT	TIC/TC/TNb			0.500	0.500	6935	9856		2084	5.735	8.628	2.893		0.102	1.00	0	0		0			2024-02-03	05:44:45	
59	17	C100 30jun23 coveA BOT	TIC/TC/TNb			0.500	0.500	7343	9948		2200	6.048	8.706	2.658		0.114	1.00	0	0		0			2024-02-03	05:56:09	
60	18	F50 6nov23 8	TIC/TC/TNb			0.500	0.500	5546	8216		3791	4.670	7.239	2.569		0.281	1.00	0	0		0			2024-02-03	06:15:13	
61	18	F50 6nov23 8	TIC/TC/TNb			0.500	0.500	5258	8268		3801	4.449	7.283	2.834		0.282	1.00	0	0		0			2024-02-03	06:26:02	
62	18	F50 6nov23 8	TIC/TC/TNb			0.500	0.500	5233	8170		3823	4.430	7.200	2.771		0.284	1.00	0	0		0			2024-02-03	06:37:14	
63	19	SPK 13	TIC/TC/TNb			0.500	0.500	9212	15555		4210	7.482	13.456	5.974		0.324	1.00	0	0		0			2024-02-03	06:56:33	
64	19	SPK 13	TIC/TC/TNb			0.500	0.500	10644	15557		4182	8.580	13.458	4.878		0.321	1.00	0	0		0			2024-02-03	07:08:52	
65	19	SPK 13	TIC/TC/TNb			0.500	0.500	10568	15615		4142	8.523	13.507	4.984		0.317	1.00	0	0		0			2024-02-03	07:20:41	
66	20	DUP 18	TIC/TC/TNb			0.500	0.500	6275	8472		3828	5.229	7.456	2.227		0.284	1.00	0	0		0			2024-02-03	07:40:02	
67	20	DUP 18	TIC/TC/TNb			0.500	0.500	5629	8471		3754	4.733	7.455	2.722		0.277	1.00	0	0		0			2024-02-03	07:50:37	
68	20	DUP 18	TIC/TC/TNb			0.500	0.500	5344	8181		3801	4.515	7.210	2.695		0.282	1.00	0	0		0			2024-02-03	08:01:21	
69	3	Water Blank	TIC/TC/TNb			0.500	0.500	1508	359		451	1.572	0.583	0.000		0.000	1.00	0	0		0			2024-02-03	08:18:27	
70	3	Water Blank	TIC/TC/TNb			0.500	0.500	312	563		448	0.654	0.755	0.101		0.000	1.00	0	0		0			2024-02-03	08:27:07	
71	3	Water Blank	TIC/TC/TNb			0.500	0.500	386	585		502	0.711	0.774	0.063		0.000	1.00	0	0		0			2024-02-03	08:36:45	
72	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	3048	6429		4781	4.588	9.542	4.954		0.640	1.00	0	0		0			2024-02-03	08:54:01	
73	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	4433	6855		4859	6.359	10.144	3.784		0.654	1.00	0	0		0			2024-02-03	09:03:45	
74	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	4781	6933		4814	6.804	10.254	3.449		0.646	1.00	0	0		0			2024-02-03	09:14:22	
75	3	Rinse	TIC/TC/TNb			0.500	0.500	1854	1064		758	1.837	1.180	0.000		0.000	1.00	0	0		0			2024-02-03	09:32:58	
76	21	F50 31oct23 1.6	TIC/TC/TNb			0.500	0.500	3977	7494		3146	3.466	6.627	3.161		0.213	1.00	0	0		0			2024-02-03	09:50:36	
77	21	F50 31oct23 1.6	TIC/TC/TNb			0.500	0.500	4900	8214		3338	4.174	7.237	3.063		0.233	1.00	0	0		0			2024-02-03	10:01:30	
78	21	F50 31oct23 1.6	TIC/TC/TNb			0.500	0.500	4966	8190		3300	4.225	7.217	2.992		0.229	1.00	0	0		0			2024-02-03	10:12:55	
79	22	C300 1jun23 cove surf	TIC/TC/TNb			0.500	0.500	6061	8903		1731	5.065	7.821	2.756		0.065	1.00	0	0		0			2024-02-03	10:31:29	
80	22	C300 1jun23 cove surf	TIC/TC/TNb			0.500	0.500	6415	8999		1803	5.337	7.902	2.565		0.073	1.00	0	0		0			2024-02-03	10:42:03	
81	22	C300 1jun23 cove surf	TIC/TC/TNb			0.500	0.500	6576	9072		1813	5.460	7.964	2.504		0.074	1.00	0	0		0			2024-02-03	10:53:25	
82	23	C400 4may23 in tunnel	TIC/TC/TNb			0.500	0.500	14588	16972		1165	11.606	14.657	3.051		0.006	1.00	0	0		0			2024-02-03	11:13:12	
83	23	C400 4may23 in tunnel	TIC/TC/TNb			0.500	0.500	16419	16896		1186	13.011	14.592	1.581		0.008	1.00	0	0		0			2024-02-03	11:23:32	
84	23	C400 4may23 in tunnel	TIC/TC/TNb			0.500	0.500	17403	16389		1184	13.766	14.163	0.397		0.008	1.00	0	0		0			2024-02-03	11:34:47	
85	24	B50 14nov23 3	TIC/TC/TNb			0.500	0.500	7123	8661		5307	5.879	7.616	1.737		0.439	1.00	0	0		0			2024-02-03	11:55:16	
