sep=	
No. 	Hole  Pos.	Name  	Method  	Coefficients  	NPOC vol. [ml]	TIC vol. [ml]	TC vol. [ml]	TIC  Area	TC  Area	NPOC  Area	TNb  Area	TIC [mg/l]	TC [mg/l]	TOC (Diff.) [mg/l]	NPOC [mg/l]	TNb [mg/l]	Dilut.  Factor	TC  Blank	TIC  Blank	NPOC  Blank	TNb  Blank	Memo  	Info  	Date	Time	
1	1	RunIn	TIC/TC/TNb			0.300	0.300	7407	13351		5299	10.163	19.315	9.152		0.730	1.00	0	0		0			2023-10-23	13:15:41	
2	1	RunIn	TIC/TC/TNb			0.300	0.300	7250	13284		4855	9.962	19.221	9.259		0.653	1.00	0	0		0			2023-10-23	13:25:28	
3	1	RunIn	TIC/TC/TNb			0.300	0.300	7266	13395		4358	9.982	19.378	9.396		0.566	1.00	0	0		0			2023-10-23	13:35:54	
4	3	Rinse	TIC/TC/TNb			0.500	0.500	3109	1350		721	2.800	1.422	0.000		0.000	1.00	0	0		0			2023-10-23	13:53:22	
5	3	Rinse	TIC/TC/TNb			0.500	0.500	529	1376		451	0.820	1.444	0.624		0.000	1.00	0	0		0			2023-10-23	14:02:24	
6	3	Rinse	TIC/TC/TNb			0.500	0.500	605	1455		166	0.879	1.512	0.632		0.000	1.00	0	0		0			2023-10-23	14:12:21	
7	3		Flush																					2023-10-23	14:18:05	
8	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	58	522		569	0.459	0.721	0.262		0.000	1.00	0	0		0			2023-10-23	14:33:59	
9	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	50	439		334	0.453	0.651	0.197		0.000	1.00	0	0		0			2023-10-23	14:42:40	
10	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	83	322		181	0.478	0.551	0.073		0.000	1.00	0	0		0			2023-10-23	14:51:26	
11	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	579	2262		1521	2.147	5.487	3.340		0.108	1.00	0	0		0			2023-10-23	15:07:25	
12	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	1143	2286		1374	3.229	5.538	2.309		0.069	1.00	0	0		0			2023-10-23	15:16:20	
13	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	1158	2297		1235	3.258	5.561	2.303		0.033	1.00	0	0		0			2023-10-23	15:25:55	
14	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	3725	7143		3471	2.727	5.275	2.548		0.206	1.00	0	0		0			2023-10-23	15:44:34	
15	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	3748	7643		3249	2.742	5.628	2.886		0.186	1.00	0	0		0			2023-10-23	15:55:08	
16	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	3913	7470		3178	2.847	5.506	2.659		0.180	1.00	0	0		0			2023-10-23	16:06:29	
17	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	4610	11231		5816	5.934	14.705	8.771		0.739	1.00	0	0		0			2023-10-23	16:25:06	
18	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	5768	11340		5697	7.268	14.843	7.576		0.720	1.00	0	0		0			2023-10-23	16:35:22	
19	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	5767	11275		5646	7.266	14.760	7.494		0.712	1.00	0	0		0			2023-10-23	16:46:21	
20	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	8185	16345		8026	7.167	15.124	7.956		0.774	1.00	0	0		0			2023-10-23	17:05:57	
21	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	8385	16298		7954	7.332	15.081	7.749		0.766	1.00	0	0		0			2023-10-23	17:16:59	
22	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	8499	16459		8009	7.426	15.227	7.801		0.773	1.00	0	0		0			2023-10-23	17:28:25	
23	8	Mixed Check 9/18/0.9	TIC/TC/TNb			0.600	0.600	10590	20494		9602	7.116	14.701	7.585		0.740	1.00	0	0		0			2023-10-23	17:48:59	
24	8	Mixed Check 9/18/0.9	TIC/TC/TNb			0.600	0.600	10913	20655		9586	7.322	14.814	7.492		0.739	1.00	0	0		0			2023-10-23	18:00:37	
25	8	Mixed Check 9/18/0.9	TIC/TC/TNb			0.600	0.600	11007	20724		9477	7.383	14.863	7.481		0.729	1.00	0	0		0			2023-10-23	18:12:48	
26	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	5656	12373		5441	7.924	17.935	10.011		0.755	1.00	0	0		0			2023-10-23	18:31:37	
27	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	6019	12095		5292	8.387	17.542	9.154		0.729	1.00	0	0		0			2023-10-23	18:41:40	
28	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	5919	12144		5247	8.260	17.611	9.351		0.721	1.00	0	0		0			2023-10-23	18:52:15	
29	2	Spiked Blank 100ml + 300uL	TIC/TC/TNb			0.500	0.500	4909	7133		3384	4.181	6.322	2.141		0.238	1.00	0	0		0			2023-10-23	19:11:06	
30	2	Spiked Blank 100ml + 300uL	TIC/TC/TNb			0.500	0.500	3455	7105		3285	3.065	6.298	3.233		0.228	1.00	0	0		0			2023-10-23	19:21:16	
31	2	Spiked Blank 100ml + 300uL	TIC/TC/TNb			0.500	0.500	3557	7041		3236	3.144	6.243	3.100		0.222	1.00	0	0		0			2023-10-23	19:32:14	
32	3		Flush																					2023-10-23	19:38:25	
