"sample_ID_tntp","Reservoir","Site","Date","Depth_m","TP_ugL","TN_ugL","sample_ID.DOC","TIC_mgL","TC_mgL","TOC_mgL","TNb_mgL","sample_ID.lachatSolubles","NH4_ugL","PO4_ugL","NO3NO2_ugL"
"F50 24JUL23 5","FCR",50,"7/24/2023",5,35.7,548,"F50 24JUL23 5",5.255187596,8.103418421,2.848230825,0.427371495,"f50 24jul23 5.0",157,3.9,27
"F50 24JUL23 6.2","FCR",50,"7/24/2023",6.2,26.1,738,"F50 24jul23 6.2",5.784733793,11.81827134,6.033537546,0.683301183,"f50 24jul23 6.2",379,3.6,80.1
"F50 24JUL23 8","FCR",50,"7/24/2023",8,24.4,714,"F50 24JUL23 8",5.250694473,7.240620188,1.989925715,0.72,"f50 24jul23 8.0",468,2.1,89.6
"F50 24JUL23 9","FCR",50,"7/24/2023",9,25.3,704,"F50 24jul23 9",5.242710063,7.178922697,1.936212634,0.71,"f50 24jul23 9.0",457,2.1,91.9
"B50 31JUL23 0.1","BVR",50,"7/31/2023",0.1,12.4,279,"B50 31JUL23 0.1",3.480679487,7.030827491,3.550148004,0.273404516,"b50 31jul23 0.1",6.5,5.7,-1.8
"B50 31JUL23 3","BVR",50,"7/31/2023",3,16.2,232,"B50 31JUL23 3.0",3.144810955,6.882910258,3.738099304,0.266643826,"b50 31jul23 3.0",13.2,6,3.4
"B50 31JUL23 6","BVR",50,"7/31/2023",6,53.1,669,"B50 31JUL23 6",3.87401615,6.693809023,2.819792873,0.305618536,"b50 31jul23 6.0",15.5,8.2,2.8
"B50 31JUL23 9","BVR",50,"7/31/2023",9,30.3,1140,"B50 31JUL23 9",5.509384172,8.876666055,3.367281883,1.054191847,"b50 31jul23 9.0",787,20,3.5
"F100 31JUL23 0.1","FCR",100,"7/31/2023",0.1,43.1,190,"F100 31JUL23 0.1",5.171941933,7.018176768,1.846234835,0.204388916,"f100 31jul23 0.1",13.5,30.1,78.6
"F50 31JUL23 0.1","FCR",50,"7/31/2023",0.1,40.3,604,"F50 31jul23 0.1",4.562901709,10.8453975,6.282495789,0.572925699,"f50 31jul23 0.1",16.6,15.5,3.1
"F50 31JUL23 1.6","FCR",50,"7/31/2023",1.6,41.7,497,"F50 31JUL23 1.6",4.320160425,10.34438542,6.024224999,0.501855048,"f50 31jul23 1.6",11.3,10.4,2.3
"F50 31JUL23 3.8","FCR",50,"7/31/2023",3.8,36.8,347,"F50 31JUL23 3.8",5.084168775,9.035282474,3.951113698,0.43,"f50 31jul23 3.8",18.9,5.7,2.5
"F50 31JUL23 5","FCR",50,"7/31/2023",5,30.3,490,"F50 31jul23 5",5.563731881,7.719826936,2.156095055,0.414287172,"f50 31jul23 5.0",203,2.5,39.9
"F50 31JUL23 6.2","FCR",50,"7/31/2023",6.2,31.7,690,"F5031JUL23 6.2",5.414741782,8.342337428,2.927595646,0.591785309,"f50 31jul23 6.2",287,3.8,58.5
"F50 31JUL23 8","FCR",50,"7/31/2023",8,32.9,749,"F50 31JUL23 8",5.558439651,11.83905444,6.280614792,0.727763139,"f50 31jul23 8.0",383,5.3,81.1
"F50 31JUL23 9","FCR",50,"7/31/2023",9,30.2,717,"F50 31jul23 9",5.614601835,12.31950287,6.704901034,0.75,"f50 31jul23 9.0",376,6.8,76
"B50 7AUG23 0.1","BVR",50,"8/7/2023",0.1,16.1,319,"B50 07AUG23 0.1",3.1,7.1,3.9,0.27,"b50 07aug23 0.1",7.7,3.3,1.6
"B50 7AUG23 3","BVR",50,"8/7/2023",3,23.6,391,"F50 07AUG23 3.0",3,6.8,3.8,0.27,"b50 07aug23 3",13.4,5.5,-0.2
"B50 7AUG23 6","BVR",50,"8/7/2023",6,21.2,298,"B50 07AUG23 6.0",4.1,6.5,2.4,0.23,"b50 07aug23 6",15.6,2.2,3.9
"B50 7AUG23 9","BVR",50,"8/7/2023",9,27.5,871,"B50 07AUG23 9",4.7,7.2,2.5,0.58,"b50 07aug23 9",462,6.5,4.6
"F50 7AUG23 0.1","FCR",50,"8/7/2023",0.1,35.7,577,"F50 7Aug23 0.1m",4.8,10,5.2,0.4,"f50 07aug23 0.1",14.4,4.7,3.4
"F100 7AUG23 0.1","FCR",100,"8/7/2023",0.1,74.2,434,"F100 7Aug23 0.1m",5.2,7.8,2.6,0.21,"f100 07aug23 0.1",9,20,67.9
"F50 7AUG23 1.6","FCR",50,"8/7/2023",1.6,40.2,595,"F50 07AUG23 1.6",4.4,9.9,5.6,0.43,"f50 07aug23 1.6",7,5.2,4.5
"F50 7AUG23 3.8","FCR",50,"8/7/2023",3.8,53.1,503,"F50 7Aug23 3.8",6,8.6,2.6,0.26,"f50 07aug23 3.8",26.9,2.2,3.5
"F50 7AUG23 5","FCR",50,"8/7/2023",5,37.6,528,"F50 07AUG23 5",5.6,8.8,3.2,0.4,"f50 07aug23 5",140,2.8,23.1
"F50 7AUG23 6.2","FCR",50,"8/7/2023",6.2,26.6,780,"F50 07AUG23 6.2",5.8,7.9,2.1,0.73,"f50 07aug23 6.2",477,2,86.7
"F50 7AUG23 8","FCR",50,"8/7/2023",8,26,789,"F50 07AUG23 8",5.8,8.7,2.9,0.8,"f50 07aug23 8",506,0.9,90.1
"F50 7AUG23 9","FCR",50,"8/7/2023",9,26.1,774,"F50 07AUG23 9",5.6,7.6,2,0.74,"f50 07aug23 9",528,1.5,83.6
"C50 9AUG23 0.1","CCR",50,"8/9/2023",0.1,7.99,140,"C50 9AUG23 0.1",7.621777783,10.60309214,2.981314357,0.170263077,"C50 9aug23 0.1",6.8,1.7,2.4
"C50 9AUG23 1.5","CCR",50,"8/9/2023",1.5,9.07,192,"C50 9AUG23 1.5",8.593720402,10.52426002,1.930539621,0.20658678,"C50 9aug23 1.5",10,1.3,2.4
"C50 9AUG23 6","CCR",50,"8/9/2023",6,9.79,158,"C50 9AUG23 6",8.021478975,11.23639444,3.214915463,0.241256981,"C50 9aug23 6",8.6,2.6,2.9
"C50 9AUG23 9","CCR",50,"8/9/2023",9,13.5,257,"C50 9AUG23 9",8.613118417,11.51680398,2.90368556,0.201092887,"C50 9aug23 9",13.1,1.4,32.2
"C50 9AUG23 20","CCR",50,"8/9/2023",20,23.8,275,"C50 9AUG23 20",9.70119485,12.10063879,2.399443943,0.28,"C50 9aug23 20",72.4,2.7,39.2
"B50 14AUG23 0.1","BVR",50,"8/14/2023",0.1,25.2,354,"B50 14aug23 0.1",3.258622597,7.641080882,4.382458285,0.3,"b50 14aug23 0.1",7.3,7.9,1.3
"B50 14AUG23 3","BVR",50,"8/14/2023",3,18.4,372,"B50 14AUG23 3",3.393061412,7.817337526,4.424276115,0.381382435,"b50 14aug23 3.0",12.3,7.1,2.8
"B50 14AUG23 6","BVR",50,"8/14/2023",6,28.5,408,"B50 14AUG23 6",4.446726192,6.907756032,2.46102984,0.240487645,"b50 14aug23 6.0",12.1,2.5,4.3
"B50 14AUG23 9","BVR",50,"8/14/2023",9,23.4,1050,"B50 14AUG23 9",6.195169866,8.666769746,2.471599881,1.010952769,"b50 14aug23 9.0",823,16.6,2.5
"F200 14AUG23 0.1","FCR",200,"8/14/2023",0.1,120,393,"F200 14AUG23 0.1",6.775615257,9.809542157,3.0339269,0.31,"f200 14aug23 0.1",92.7,8,39.8
"F50 14AUG23 0.1","FCR",50,"8/14/2023",0.1,33.3,565,"F50 14AUG23 0.1",4.607556163,10.30914357,5.701587411,0.466514855,"f50 14aug23 0.1",7.5,12.9,2
"F100 14AUG23 0.1","FCR",100,"8/14/2023",0.1,38.8,192,"F100 14aug23 0.1",5.369027679,7.216322053,1.847294375,0.221414858,"f100 14aug23 0.1",10.8,34.6,90.8
"F50 14AUG23 3.8","FCR",50,"8/14/2023",3.8,63.5,653,"F50 14aug23 3.8m",5.289071906,8.861284731,3.572212825,0.34,"f50 14aug23 3.8",12.1,4.1,0.8
"F50 14AUG23 5","FCR",50,"8/14/2023",5,30,710,"F50 14AUG23 5",5.678621045,7.672668516,1.994047472,0.66729412,"f50 14aug23 5.0",447,3.3,55.2
"F50 14AUG23 6.2","FCR",50,"8/14/2023",6.2,26.4,754,"F50 14aug23 6.2",5.531871193,8.073453776,2.541582583,0.848534661,"f50 14aug23 6.2",556,3.9,65.9
"F50 14AUG23 8","FCR",50,"8/14/2023",8,25.1,843,"F50 14AUG23 8",6.172376411,8.217436168,2.045059758,0.808624311,"f50 14aug23 8.0",584,3.3,70.9
"F50 14AUG23 9","FCR",50,"8/14/2023",9,29.4,885,"F50 14AUG23 9",6.064051444,7.810799352,1.746747908,0.873873843,"f50 14aug23 9.0",620,4.4,74.1
"B50 22AUG23 0.1","BVR",50,"8/22/2023",0.1,21.7,426,"B50 22aug23 0.1",3.386079168,7.839302671,4.453223502,0.336886439,"b50 22aug23 0.1",10.7,7.5,2
"B50 22AUG23 3","BVR",50,"8/22/2023",3,23.5,428,NA,NA,NA,NA,NA,"b50 22aug23 3.0",10.4,6.9,1.6
"B50 22AUG23 6","BVR",50,"8/22/2023",6,27.5,378,"B50 22AUG23 6",4.715577321,6.875654583,2.160077263,0.170394458,"b50 22aug23 6.0",13,3,1.9
"B50 22AUG23 9","BVR",50,"8/22/2023",9,23.3,1530,"B50 22aug23 9",6.04531831,8.685452135,2.640133825,1.52,"b50 22aug23 9.0",1270,8,2.6
"F50 22AUG23 0.1","FCR",50,"8/22/2023",0.1,41.4,752,"F50 22aug23 0.1m",4.589656148,10.96330765,6.373651497,0.55,"f50 22aug23 0.1",8.9,13.5,2.1
"F50 22AUG23 1.6","FCR",50,"8/22/2023",1.6,39.2,726,"F50 22aug23 1.6",4.786937973,10.77339203,5.98645406,0.528319855,"f50 22aug23 1.6",8.7,12.3,0.5
"F50 22AUG23 1.6","FCR",50,"8/14/2023",1.6,50.2,693,"F50 14AUG23 1.6",7.369079244,13.56296201,6.193882762,0.517001076,"f50 14aug23 1.6",12.9,13.9,1.1
"F50 22AUG23 3.8","FCR",50,"8/22/2023",3.8,68.2,727,"F50 22aug23 3.8",5.842892191,8.893249331,3.05035714,0.353973355,"f50 22aug23 3.8",22.4,5.9,4.1
"F50 22AUG23 5","FCR",50,"8/22/2023",5,55.8,819,"F50 22aug23 5",6.062267801,10.66317043,4.600902633,0.78,"f50 22aug23 5.0",464,3.6,49.6
"F50 22AUG23 6.2","FCR",50,"8/22/2023",6.2,36.1,831,"F50 22aug23 6.2",6.160475145,10.78800626,4.62753112,0.67,"f50 22aug23 6.2",378,8.2,39.6
"F50 22AUG23 8","FCR",50,"8/22/2023",8,22.1,921,"F50 22aug23 8",6.194872641,9.657046754,3.462174113,0.96,"f50 22aug23 8.0",701,3.3,67.9
"F50 22AUG23 9","FCR",50,"8/22/2023",9,21.8,851,"F50 22AUG23 9",6.469682347,8.344410478,1.874728131,1.020723982,"f50 22aug23 9.0",709,2.6,64
"B50 29AUG23 0.1","BVR",50,"8/29/2023",0.1,21.8,415,"B50 29AUG23 0.1",3.2,7.6,4.3,0.36,"b50 29aug23 0.1",12.6,5.3,3.1
"B50 29AUG23 3","BVR",50,"8/29/2023",3,22.6,383,"B50 29AUG23 3",3.6,8,4.5,0.39,"b50 29aug23 3",19.1,3.2,2.2
"B50 29AUG23 6","BVR",50,"8/29/2023",6,21.7,295,"B50 29AUG23 6",4.4,6.4,2,0.17,"b50 29aug23 6",16.1,0.9,3.2
"B50 29AUG23 9","BVR",50,"8/29/2023",9,27.2,1450,"B50 29Aug23 9.0m",5.9,9.2,3.3,1.5,"b50 29aug23 9",1290,10,2.1
"F50 29aug23 0.1","FCR",50,"8/29/2023",0.1,40.7,915,"F50 29AUG23 0.1",4.4,11.1,6.7,0.52,"f50 29aug23 0.1",6.2,4.5,1.6
"F100 29AUG23 0.1","FCR",100,"8/29/2023",0.1,49.9,233,"F100 29Aug23 0.1m",5.3,7.2,1.9,0.15,"f100 29aug23 0.1",16.2,23.4,80.6
"F50 29aug23 1.6","FCR",50,"8/29/2023",1.6,45.8,830,"F50 29AUG23 1.6",4.6,10.2,5.6,0.51,"f50 29aug23 1.6",57.9,5.3,3.2
"F50 29aug23 3.8","FCR",50,"8/29/2023",3.8,53.8,484,"F50 29AUG23 3.8",5,7.4,2.5,0.23,"f50 29aug23 3.8",13.8,1.9,5.6
"F50 29AUG23 5","FCR",50,"8/29/2023",5,34.4,730,"F50 29Aug23 5m",6.2,8.5,2.4,0.74,"f50 29aug23 5",497,3,32.7
"F50 29aug23 6.2","FCR",50,"8/29/2023",6.2,22.8,1000,"F50 29AUG23 6.2",5.9,7.5,1.6,1.02,"f50 29aug23 6.2",862,1.3,61.3
"F50 29aug23 8","FCR",50,"8/29/2023",8,24.9,1050,"F50 29AUG23 8.0",5.9,7.9,2,0.98,"f50 29aug23 8",867,2.2,63.7
"F50 29aug23 9","FCR",50,"8/29/2023",9,22.1,971,"F50 29AUG23 9.0",5.9,7.7,1.9,0.93,"f50 29aug23 9",853,3.1,63.5
"B50 5SEP23 0.1","BVR",50,"9/5/2023",0.1,25.1,447,"B50 05SEP23 0.1",3.2,6.9,3.7,0.28,"b40 05sep23 0.1",13.9,2.2,5.9
"B50 5SEP23 3","BVR",50,"9/5/2023",3,24.2,380,"B50 05SEP23 3",3.3,6.9,3.6,0.27,"b50 05sep23 3",8.4,3.7,7
"B50 5SEP23 6","BVR",50,"9/5/2023",6,29.5,433,"B50 5Sep23 6.0m",5.1,7.5,2.4,0.19,"b50 05sep23 6",11.1,3.2,5.1
"B50 5SEP23 9","BVR",50,"9/5/2023",9,22.6,1330,"B50 5Sep23 9.0m",5.9,9.3,3.4,1.36,"b50 05sep23 9",1160,13.2,4.6
"F100 5sep23 0.1","FCR",100,"9/5/2023",0.1,56.6,282,"F100 05SEP23 0.1",5.4,7.1,1.7,0.2,"f100 05sep23 0.1",12,23.8,90.1
"F50 5SEP23 0.1","FCR",50,"9/5/2023",0.1,37.8,675,"F50 5Sep23 0.1m",4.9,11.3,6.4,0.53,"f50 05sep23 0.1",8.4,4.3,3.1
"F50 5SEP23 1.6","FCR",50,"9/5/2023",1.6,31.7,565,"F50 05SEP23 1.6",4.5,10.3,5.8,0.45,"f50 05sep23 1.6",6.7,6.5,2.6
"F50 5SEP23 3.8","FCR",50,"9/5/2023",3.8,49.8,437,"F50 05SEP23 3.8",5.2,8.3,3.1,0.25,"f50 05sep23 3.8",12.5,2.5,5.9
"F50 5SEP23 5","FCR",50,"9/5/2023",5,36.9,764,"F50 05SEP23 5",5.9,8.5,2.5,0.54,"f50 05sep23 5",347,4.1,18
"F50 5SEP23 6.2","FCR",50,"9/5/2023",6.2,21.6,1150,"F50 05SEP23 6.2",6,7.8,1.8,1.07,"f50 05sep23 6.2",943,4.2,56.5
"F50 5SEP23 8","FCR",50,"9/5/2023",8,24.6,990,"F50 05SEP23 8.0",6.1,8.1,2,0.98,"f50 05sep23 8",925,2,58.1
"F50 5SEP23 9","FCR",50,"9/5/2023",9,21.3,1050,"F50 05SEP23 9",6.5,8.6,2.1,1.19,"f50 05sep23 9",953,2.2,58.9
"B50 12SEP23 0.1","BVR",50,"9/12/2023",0.1,21.3,479,"B50 12sep23 0.1m",3.546763942,7.312789206,3.766025264,0.27,"b50 12sep23 0.1",4.8,5.6,0.7
"B50 12SEP23 3","BVR",50,"9/12/2023",3,16.4,348,NA,NA,NA,NA,NA,"b50 12sep23 3.0",9.8,4.9,0.2
"B50 12SEP23 6","BVR",50,"9/12/2023",6,21.3,404,"B50 12SEP23 6",4.773353748,6.915545365,2.142191617,0.2,"b50 12sep23 6.0",16.3,2.3,1.8
"B50 12SEP23 9","BVR",50,"9/12/2023",9,16.9,1120,"B50 12sep23 9m",5.805532865,8.403907494,2.598374629,1.08,"b50 12sep23 9.0",840,7.5,-1.9
"F50 12SEP23 0.1","FCR",50,"9/12/2023",0.1,36.5,997,"F50 12sep23 0.1",4.867827205,13.40690264,8.539075437,1.19,"f50 12sep23 0.1",52.7,23,4.9
"F100 12SEP23 0.1","FCR",100,"9/12/2023",0.1,44,175,"F100 12sep23 0.1",5.442357833,7.229656399,1.787298566,0.169194843,"f100 12sep23 0.1",9.4,33,38.9
"F50 12SEP23 1.6","FCR",50,"9/12/2023",1.6,39.8,750,"F50 12SEP23 1.6",4.971755936,10.5216312,5.549875259,0.539243101,"f50 12sep23 1.6",10.5,12.6,1.9
"F50 12SEP23 3.8","FCR",50,"9/12/2023",3.8,50.7,551,"F50 12SEP23 3.8",5.476185009,8.896878292,3.420693283,0.39413767,"f50 12sep23 3.8",9.6,8,2.6
"F50 12SEP23 5","FCR",50,"9/12/2023",5,25,1250,"F50 12sep23 5",6.374409377,8.420146757,2.04573738,1.112272712,"f50 12sep23 5.0",831,4.3,34.4
"F50 12SEP23 6.2","FCR",50,"9/12/2023",6.2,18.7,1430,"F50 12SEP23 6.2",7.055870553,8.874074742,1.818204189,1.368333402,"f50 12sep23 6.2",1080,7,49.8
"F50 12SEP23 8","FCR",50,"9/12/2023",8,22.7,1090,"F50 12sep23 8m",6.660485127,8.451185745,1.790700618,1.31,"f50 12sep23 8.0",1080,4,45.4
"F50 12SEP23 9","FCR",50,"9/12/2023",9,25,1150,"F50 12sep23 9m",6.458088265,8.663672266,2.205584001,1.31,"f50 12sep23 9.0",1070,3.1,49.7
"F100 12SEP23 ISCOA","FCR",100.1,"9/12/2023",0.1,59.2,259,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B50 18SEP23 0.1","BVR",50,"9/18/2023",0.1,24.4,332,"B50 18SEP23 0.1",3.4,7.2,3.9,0.28,"b50 18sep23 0.1",9.3,3.9,2.8
"B50 18SEP23 3","BVR",50,"9/18/2023",3,27.4,353,"B50 18SEP23 3",3.4,7.1,3.7,0.27,"b50 18sep23 3",6.7,2.9,13.1
"B50 18SEP23 6","BVR",50,"9/18/2023",6,29.9,336,"B50 18SEP23 6",4.6,6.9,2.4,0.2,"b50 18sep23 6",8.1,2.8,2.8
"B50 18SEP23 9","BVR",50,"9/18/2023",9,22.8,1614,"B50 18Sep23 9m",6.2,10.1,3.9,1.84,"b50 18sep23 9",1570,14.6,4
"F50 18SEP23 0.1","FCR",50,"9/18/2023",0.1,40.9,653,"F50 18Sep23 0.1m",4.8,10.4,5.6,0.47,"f50 18sep23 0.1",12.4,5.3,8.9
"F50 18sep23 1.6","FCR",50,"9/18/2023",1.6,38.7,660,"F50 18SEP23 1.6",5.1,10.2,5.1,0.47,"f50 18sep23 1.6",9.1,3.9,2.7
"F50 18sep23 3.8","FCR",50,"9/18/2023",3.8,48.3,650,"F50 18SEP23 3.8",5.1,8.9,3.7,0.34,"f50 18sep23 3.8",8.4,2.6,5.4
"F50 18SEP23 5","FCR",50,"9/18/2023",5,33.3,896,"F50 18SEP23 5",6.1,8.3,2.1,0.91,"f50 18sep23 5",769,2.8,17.6
"F50 18SEP23 6.2","FCR",50,"9/18/2023",6.2,40.1,900,"F50 18Sep23 6.2m",6.6,9.2,2.6,1.04,"f50 18sep23 6.2",786,3,35.2
"F50 18SEP23 8","FCR",50,"9/18/2023",8,25.6,1330,"F50 18SEP23 8",6.8,8.9,2,1.28,"f50 18sep23 8",1020,2,46.8
"F50 18SEP23 9","FCR",50,"9/18/2023",9,25.9,1260,"F50 18SEP23 9",6.7,8.7,2,1.34,"f50 18sep23 9",1150,2.7,47.1
"F100 18SEP23 ISCOA","FCR",100.1,"9/18/2023",0.1,88.6,398,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B50 25SEP23 0.1","BVR",50,"9/25/2023",0.1,23.6,335,"B50 25sep23 0.1",3.7,7.2,3.5,0.27,"B50 25sep23 0.1",7,5.5,2.8
"B50 25SEP23 3","BVR",50,"9/25/2023",3,22.4,409,"B50 25SEP23 3",3.829976427,7.427586376,3.597609949,0.381697966,"B50 25sep23 3",21.2,4.9,4.6
"B50 25SEP23 9","BVR",50,"9/25/2023",9,18.5,2346,"B50 25sep23 9",5.9,9.3,3.4,2.09,"B50 25sep23 9",1790,11.6,3.8
"F50 25SEP23 9","FCR",50,"9/26/2023",9,19.1,1610,"F50 26SEP23 9",7.021460282,8.642341663,1.620881381,1.56,"F50 26sep23 9",1290,2.6,31.1
"B50 26SEP23 0.1","FCR",50,"9/26/2023",0.1,37.5,737,"F50 26sep23 0.1",4.675703422,10.16978092,5.4940775,0.589340959,"F50 26sep23 0.1",16.1,22.8,8.8
"B50 26SEP23 6","BVR",50,"9/25/2023",6,26.7,387,"B50 25sep23 6",4.210582702,6.9759492,2.765366498,0.229472926,"B50 25sep23 6",13.5,1.8,2.4
"F50 26SEP23 1.6","FCR",50,"9/26/2023",1.6,43.4,813,"F50 25SEP23 1.6",4.931068985,9.368761092,4.437692107,0.381057901,"F50 26sep23 1.6",10.9,10.5,2.9
"F50 26SEP23 3.8","FCR",50,"9/26/2023",3.8,31.7,619,"F50 26sep23 3.8",5.026759186,9.378587952,4.351828765,0.44,"F50 26sep23 3.8",67.3,6.7,3.6
"F50 26SEP23 5","FCR",50,"9/26/2023",5,40.5,1570,"F50 26sep23 5",6.59695625,8.654948179,2.057991929,1.306390678,"F50 26sep23 5",989,3.4,20.6
"F50 26SEP23 6.2","FCR",50,"9/26/2023",6.2,24.4,1640,"F50 25SEP23 6.2",6.978069986,8.889948577,1.91187859,1.493277957,"F50 26sep23 6.2",1220,1.6,31.9
"F50 26SEP23 8","FCR",50,"9/26/2023",8,21.5,1660,"F50 26sep23 8",6.638405262,8.497448116,1.859042853,1.541486146,"F50 26sep23 8",1260,7.6,32.9
"B50 3OCT23 0.1","BVR",50,"10/3/2023",0.1,55.8,1070,"B50 3oct23 0.1",3.8,7.3,3.5,0.27,"B50 3oct23 0.1",8.2,6.3,2.3
"B50 3OCT23 3","BVR",50,"10/3/2023",3,20.4,398,"B50 3oct23 3",3.6,7,3.4,0.24,"B50 3oct23 3",8.7,4.7,3
"B50 3OCT23 6","BVR",50,"10/3/2023",6,31.9,405,"B50 3oct23 6",4.70481544,7.468150679,2.763335239,0.22,"B50 3oct23 6",14.3,2.4,2.9
"B50 3OCT23 9","BVR",50,"10/3/2023",9,16.2,2166,"B50 3oct23 9",6.8,9.6,2.8,2,"B50 3oct23 9",1780,7.7,2.8
"F100 3OCT23 0.1","FCR",100,"10/3/2023",0.1,30.4,136,"F100 3oct23 0.1",4.67638621,6.579120063,1.902733853,0.165092138,"F100 3OCT23 0.1",9,24,39.5
"F50 3OCT23 0.1","FCR",50,"10/3/2023",0.1,29.4,603,"F50 3oct23 0.1",4.678637938,9.149880618,4.47124268,0.434817368,"F50 3oct23 0.1",42.1,7.1,4.9
"F50 3OCT23 1.6","FCR",50,"10/3/2023",1.6,31.4,604,"F50 3oct23 1.6",4.769118835,9.292616045,4.52349721,0.442302189,"F50 3oct23 1.6",25.1,8.9,-1.3
"F50 3OCT23 3.8","FCR",50,"10/3/2023",3.8,34.3,638,"F50 3OCT23 3.8",5.610192041,9.697511504,4.087319463,0.425887878,"F50 3oct23 3.8",88.9,6.1,2.8
"F50 3OCT23 5","FCR",50,"10/3/2023",5,30.8,1680,"F50 3oct23 5",5.390992273,7.785239712,2.394247438,0.529076829,"F50 3oct23 5",713,11,3.9
"F50 3OCT23 6.2","FCR",50,"10/3/2023",6.2,24.8,1700,"F50 3oct23 6.2",6.4,8.5,2.1,1.23,"F50 3oct23 6.2",999,2.2,19.4
"F50 3OCT23 8","FCR",50,"10/3/2023",8,21.1,1850,"F50 3OCT23 8",6.972454772,8.887832278,1.915377507,1.53,"F50 3oct23 8",1380,3,22.8
"F50 3OCT23 9","FCR",50,"10/3/2023",9,20.9,1700,"F50 3OCT23 9",7.142953109,8.990472751,1.847519642,1.561391568,"F50 3oct23 9",1350,3.9,27.4
"B50 9OCT23 0.1","BVR",50,"10/9/2023",0.1,18.1,345,"B50 9oct23 0.1",3.339608355,6.294998325,2.95538997,0.253944307,"B50 9OCT23 0.1",17.6,6.2,6.6
"B50 9OCT23 3","BVR",50,"10/9/2023",3,20.5,352,"B50 9oct23 3",3.34476966,6.686364583,3.341594923,0.286206454,"B50 9OCT23 3",11.1,5,3.6
"B50 9OCT23 6","BVR",50,"10/9/2023",6,20.1,369,"B50 9oct23 6",3.890231417,7.002775362,3.112543945,0.272863194,"B50 9oct23 6",5.9,4,2
"B50 9OCT23 9","BVR",50,"10/9/2023",9,20.6,2379,"B50 9OCT23 9",6.543146083,9.622187826,3.079041744,2.18,"B50 9oct23 9",1810,12.6,3.5
"F50 9OCT23 0.1","FCR",50,"10/9/2023",0.1,32.1,638,"F50 9oct23 0.1",5.360163714,9.681782855,4.321619141,0.45,"F50 9oct23 0.1",96.3,7.9,11.6
"F50 9OCT23 1.6","FCR",50,"10/9/2023",1.6,31.9,583,"F50 9oct23 1.6",5.083542145,9.184708218,4.101166073,0.44,"F50 9oct23 1.6",89,6.2,8.2
"F50 9OCT23 3.8","FCR",50,"10/9/2023",3.8,33.5,673,"F50 9oct23 3.8",4.948124286,9.047131357,4.099007071,0.461176956,"F50 9oct23 3.8",91.7,6.8,7.4
"F50 9OCT23 5","FCR",50,"10/9/2023",5,36.9,1320,"F50 9oct23 5",6.305826829,8.723192798,2.417365969,1.01537915,"F50 9oct23 5",748,2.2,6.5
"F50 9OCT23 6.2","FCR",50,"10/9/2023",6.2,23.4,1740,"F50 9OCT23 6.2",7.233307019,9.068775792,1.835468773,1.461541388,"F50 9oct23 6.2",1240,1.5,20
"F50 9OCT23 8","FCR",50,"10/9/2023",8,24.7,1680,"F50 9oct23 8",6.949924026,8.813695363,1.863771336,1.36,"F50 9oct23 8",1150,3,19.7
"F50 9OCT23 9","FCR",50,"10/9/2023",9,22.8,1732,"F50 9oct23 9",7.5,9.2,1.7,1.67,"F50 9oct23 9",1430,0.4,28.5
"B50 17OCT23 0.1","BVR",50,"10/17/2023",0.1,19.7,365,"B50 17oct23 0.1",4,7.7,3.7,0.28,"B50 17oct23 0.1",17,5.8,4.6
"B50 17OCT23 3","BVR",50,"10/17/2023",3,20,355,"B50 17OCT23 3",4.061221178,7.603239144,3.542017966,0.31,"B50 17oct23 3",19.1,3.7,3.8
"B50 17OCT23 6","BVR",50,"10/17/2023",6,28.2,451,"B50 17oct23 6",4.029671271,7.847144308,3.817473036,0.28,"B50 17oct23 6",14.9,3.6,6.2
"B50 17OCT23 9","BVR",50,"10/17/2023",9,25.3,2433,"B50 17OCT23 9",6.241966385,9.08570618,2.843739795,1.602782454,"B50 17oct23 9",1330,8.5,6.9
"F100 17OCT23 0.1","FCR",100,"10/17/2023",0.1,35.6,94.3,"F100 17oct23 0.1",5.1,6.9,1.8,0.1,"F100 17oct23 0.1",9,19.4,4.3
"F50 17OCT23 0.1","FCR",50,"10/17/2023",0.1,32,656,"F50 17oct23 0.1",5.475177254,9.341452728,3.866275474,0.512996157,"F50 17oct23 0.1",137,7.2,17.3
"F50 17OCT23 1.6","FCR",50,"10/17/2023",1.6,32.5,671,"F50 17oct23 1.6",5.525824088,9.315680166,3.789856077,0.5,"F50 17oct23 1.6",142,6.7,17.9
"F50 17OCT23 3.8","FCR",50,"10/17/2023",3.8,37.8,662,"f50 17OCT23 3.8",5.731990688,9.437177205,3.705186517,0.470096462,"F50 17oct23 3.8",142,6.4,14.4
"F50 17OCT23 5","FCR",50,"10/17/2023",5,31.9,662,"F50 17OCT23 5",5.649033342,9.4057138,3.756680458,0.496687678,"F50 17oct23 5",142,8.5,13.5
"F50 17OCT23 6.2","FCR",50,"10/17/2023",6.2,24,1740,"F50 17oct23 6.2",7.1,9.3,2.1,1.36,"F50 17oct23 6.2",1170,5.9,20
"F50 17OCT23 8","FCR",50,"10/17/2023",8,25.9,1660,"F50 17oct23 8",6.8,8.8,2,1.45,"F50 17oct23 8",1280,2.6,21.1
