attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
LvlPressure_psi_9	Pressure from CS-451 pressure sensor at about ~9 m as measured relative to ambient atmospheric pressure	numeric	poundsPerSquareInch		NA	value is missing
LvlTemp_C_9	Water temperature from CS-451pressure sensor at the last sensor in the string (about 9m) 	numeric	celsius		NA	value is missing
LvlDepth_m_9	Depth of the pressure sensor at 9m derived from Lvl_Pressure_psi_9 where 1psi=0.70455m (See Methods)   	numeric	meter		NA	value is missing
RECORD	The nth record collected since the instrument was turned on or the program was altered	numeric	number		NA	value is missing
CR6Battery_V	The battery voltage of the CR6 	numeric	volt		NA	value is missing
CR6Panel_Temp_C	Panel temperature of the CR6 data logger	numeric	celsius		NA	value is missing
Flag_ThermistorTemp_C_surface	Data flag for temperature data at 0.1m (ThermistorTemp_C_surface)	categorical			NA	value is missing
Flag_ThermistorTemp_C_1	Data flag for temperature data at 1m (ThermistorTemp_C_1)	categorical			NA	value is missing
Flag_ThermistorTemp_C_2	Data flag for temperature data at 2m (ThermistorTemp_C_2)	categorical			NA	value is missing
Flag_ThermistorTemp_C_3	Data flag for temperature data at 3m (ThermistorTemp_C_3)	categorical			NA	value is missing
Flag_ThermistorTemp_C_4	Data flag for temperature data at 4m (ThermistorTemp_C_4)	categorical			NA	value is missing
Flag_ThermistorTemp_C_5	Data flag for temperature data at 5m (ThermistorTemp_C_5)	categorical			NA	value is missing
Flag_ThermistorTemp_C_6	Data flag for temperature data at 6m (ThermistorTemp_C_6)	categorical			NA	value is missing
Flag_ThermistorTemp_C_7	Data flag for temperature data at 7m (ThermistorTemp_C_7)	categorical			NA	value is missing
Flag_ThermistorTemp_C_8	Data flag for temperature data at 8m (ThermistorTemp_C_8)	categorical			NA	value is missing
Flag_ThermistorTemp_C_9	Data flag for temperature data at 9m (ThermistorTemp_C_9)	categorical			NA	value is missing
Flag_RDO_mgL_5	Data flag for DO data in milligrams per liter at 5 meter depth (RDO_mgL_5)	categorical			NA	value is missing
Flag_RDOsat_percent_5	Data flag for DO saturation data at 5 meter depth (RDOsat_percent_5)	categorical			NA	value is missing
Flag_RDOTemp_C_5	Data flag for temperature on the DO sensor at 5 meter depth (RDOTemp_C_5)	categorical			NA	value is missing
Flag_RDO_mgL_9	Data flag for DO data in milligrams per liter at 9 meter depth (RDO_mgL_9)	categorical			NA	value is missing
Flag_RDOsat_percent_9	Data flag for DO saturation data at 9 meter depth (RDOsat_percent_9)	categorical			NA	value is missing
Flag_RDOTemp_C_9	Data flag for temperature on the DO sensor at 9 meter depth (RDOTemp_C_9)	categorical			NA	value is missing
Flag_EXOTemp_C_1	Data flag for EXO2 Temperature data (EXOTemp_C_1)	categorical			NA	value is missing
Flag_EXOCond_uScm_1	Data flag for EXO2 conductivity data (EXOCond_uScm_1)	categorical			NA	value is missing
Flag_EXOSpCond_uScm_1	Data flag for EXO2 specific conductance data (EXOSpCond_uScm_1)	categorical			NA	value is missing
Flag_EXOTDS_mgL_1	Data flag for EXO2 total dissolved solids data (EXOTDS_mgL_1)	categorical			NA	value is missing
Flag_EXODOsat_percent_1	Data flag for EXO2 DO saturation data at 1.6 meter depth (EXODOsat_percent_1)	categorical			NA	value is missing
Flag_EXODO_mgL_1	Data flag for EXO2 DO data in miligrams per liter at 1.6 meter depth (EXODO_mgL_1)	categorical			NA	value is missing
Flag_EXOChla_RFU_1	Data flag for EXO2 chlorophyll data measured in Relative Fluorescence Units (EXOChla_RFU_1)	categorical			NA	value is missing
Flag_EXOChla_ugL_1	Data flag for EXO2 chlorophyll data measured in micrograms per liter (EXOChla_ugL_1)	categorical			NA	value is missing
Flag_EXOBGAPC_RFU_1	Data flag for EXO2 phycocyanin data measured in Relative Fluorescence Units (EXOBGAPC _RFU_1)	categorical			NA	value is missing
Flag_EXOBGAPC_ugL_1	Data flag for EXO2 phycocyanin data measured in micrograms per liter (EXOBGAPC_ugL_1)	categorical			NA	value is missing
Flag_EXOfDOM_RFU_1	Data flag for EXO2 fluorescent dissolved organic matter data in Relative Fluorescence Units (EXOfDOM_RFU_1)	categorical			NA	value is missing
Flag_EXOfDOM_QSU_1	Data flag for EXO2 fluorescent dissolved organic matter data in Relative Fluorescence Units (EXOfDOM_QSU_1)	categorical			NA	value is missing
Flag_EXOTurbidity_FNU_1	Data flag for EXO2 turbidity data in FNU (EXOTurbidity_FNU_1)	categorical			NA	value is missing
Flag_EXOPressure_psi	Data flag for EXO2 pressure sensor in psi (EXOPressure_psi)	categorical			NA	value is missing
Flag_EXODepth_m	Data flag for EXO2 depth sensor in meters (EXODepth_m)	categorical			NA	value is missing
Flag_EXOBattery_V	Data flag for EXO2 battery in volts (EXOBattery_V)	categorical			NA	value is missing
Flag_EXOCablepower_V	Data flag for EXO2 cable power in volts (EXOCablepower_V)	categorical			NA	value is missing
Flag_EXOWiper_V	Data flag for EXO2 wiper in volts (EXOWiper_V)	categorical			NA	value is missing
Flag_LvlPressure_psi_9	Data flag for pressure transducer at 9m (LvlPressure_psi_9)	categorical			NA	value is missing
Flag_LvlTemp_C_9	Data flag for pressure transducer temperature at 9m (LvlTemp_C_9)	categorical			NA	value is missing
