ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/07/2022 - 15,0.2,"1,073.20",434,220.9,"3,452.70",21.2,-0.5,-0.1,632.3,997.2,3.3,0,0.3,419.7,32.6,0.2,0.2,0.3,2,0,-0.1,6.5,0.1,0,0,0.1,12.7,0.2,0
06/13/2022 - 15,0.1,"1,075.20",385,136.6,"3,290.80",19.8,-0.6,-0.1,616.5,905,2.2,-0.1,0.4,368.1,31.9,0.1,0.3,2.7,11.4,0,-0.1,6.4,0.1,0,0.1,0.2,13.7,0.3,0
06/13/2022 - 17,0.3,"1,734.90",664.7,314.1,"6,264.60",39.1,-0.4,0,587.3,"1,540.40",5.5,0.4,0.5,"1,525.10",31.7,0.3,0.4,0.4,2.1,0,0,10.2,0.1,0,0,0.1,14.1,0.3,0
06/20/2022 - 15,0.2,"1,125.40",385.4,253.1,"3,555.40",26.1,-0.7,-0.1,656.8,895.1,3.1,0,0.4,553.2,47.4,0.2,0.5,0.3,2.8,0,0,6.3,0,0,0,0,16,0.3,0
06/20/2022 - 17,0.2,"1,772.00",703.4,143.8,"6,015.20",29.7,-0.4,0,539.7,"1,615.50",2.7,0.1,0.5,"1,135.00",34.7,0.3,0.3,0.3,3.1,0,-0.1,10.4,0,0,0,0,12.8,0.1,0
06/27/2022 - 15,0.3,"1,304.50",466.6,295.1,"4,112.70",27.5,-0.5,0,790.4,"1,085.30",4.3,0.1,0.4,629.4,54.4,0.2,0.3,0.4,1.9,0,0,7.5,0,0,0,0,19.9,0.3,0
06/27/2022 - 17,0.3,"2,012.10",829.6,396.3,"7,178.20",49,-0.5,0,730.8,"1,961.90",7,0.5,0.6,"1,854.20",42,0.4,0.5,0.4,2.9,0,-0.1,12.8,0,0,0,0,17.9,0.3,0
07/18/2022 - 17,0.2,"2,025.40",887.4,194.1,"6,854.00",40.8,-0.6,-0.1,683.1,"2,096.10",4.1,0.1,0.4,"1,732.20",49.5,0.4,0.4,0.2,2,0,-0.1,13.8,0,0,0,0,16.9,0.2,0
08/01/2022 - 15,0.3,"1,793.50",529.8,158.4,"5,921.10",25.9,-0.8,-0.2,723.5,"1,459.80",2.6,-0.1,0.3,278,51.3,0.1,0.2,0.3,3.5,0,0,9.3,0,0,0.3,0.3,16.1,0.2,0
08/18/2022 - 15,0.7,"1,864.00",587.9,"1,070.10","7,156.90",58.7,-0.9,-0.2,783,"1,604.10",16.6,0.9,1,"1,241.90",152.2,0.5,0.7,1,24.1,0.1,-0.2,10.6,0.2,0,0.1,0.2,29.6,0.9,0.1
08/18/2022 - 17,0.4,"1,917.90",819,568.5,"7,001.60",59.7,-0.6,-0.1,719.5,"1,984.20",10.3,0.6,0.8,"2,930.10",56,0.5,0.8,0.6,8,0.1,-0.1,13,0.1,0,0.3,0.3,21.4,0.4,0
08/29/2022 - 15,0.8,"1,844.50",594.8,"1,147.20","7,247.50",78.5,-1,0,754.1,"1,593.50",18,1.1,1.2,"1,332.60",186.1,0.6,1,1,10.3,0,-0.2,10.2,0.1,0.3,0,0.1,29.4,1.1,0
08/29/2022 - 16,0.4,"2,119.10",599.4,298.4,"6,799.20",30.7,-0.9,-0.2,744.6,"1,654.30",4.9,0,0.4,370.9,49.4,0.2,0.3,1,9.3,0,-0.1,10.4,0,0,0,0.1,17,0.4,0
07/31/2023 - 5,0.2,"1,568.80",570,15.1,"4,396.00",21,-0.7,-0.1,573,"1,432.10",0.7,-0.3,0.2,387.8,207.4,0.4,0.2,0.5,1.6,0,0,9.6,0,0,0,0,18.2,0,0
07/31/2023 - 7,0.1,"1,497.50",579.6,8.1,"4,426.50",17.9,-0.6,-0.1,566.1,"1,543.50",0.5,-0.4,0.1,861,345,0.6,0.1,0.8,1.9,-0.1,0,10.2,0,0,0,0,23.2,0,0
07/31/2023 - 9,0.1,"1,519.50",575.8,12,"4,415.00",20.1,-0.6,-0.1,554.1,"1,514.30",0.7,-0.3,0.3,756,269.1,0.7,0.4,1,2.8,-0.1,0.1,9.9,0.2,0,0,0,19.1,0.1,0
07/31/2023 - 11,0.1,"1,474.80",580.1,9,"4,373.40",17.8,-0.6,-0.2,518.1,"1,527.00",0.5,-0.3,0.2,879,318.3,0.6,0.7,1.2,2.7,-0.1,0,10,0,0,0,0,20.2,0.2,0
07/31/2023 - 15,0.4,"1,868.50",511.5,136.3,"5,829.70",25.8,-0.9,-0.2,666.7,"1,494.80",2.3,-0.2,0.2,173.6,21.9,0.1,0.3,1.8,8.3,-0.1,-0.1,9.8,0,0,0.1,0.1,12.5,0.2,0
07/31/2023 - 22,0.1,"1,256.70",388.7,36.4,"2,571.80",12.4,-0.5,-0.3,609.2,834.8,0.4,-0.4,0.1,87.2,2.8,0,0.1,1.3,4.9,0,-0.1,5.7,0,0,0,0,6.6,0.1,0
