ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2023 - 22,0.2,"3,161.7",987.3,7.2,"5,668.2",0.7,0.7,0.1,"1,494.5","2,243.5",-0.2,-0.1,0.3,452.9,220.6,0.5,0.1,0.1,3.6,0.1,-2.4,15.3,0.0,0.0,0.1,31.6,0.0,0.0
10/17/2023 - 23,0.2,"2,435.6",938.2,6.0,"5,532.5",13.6,0.6,-0.1,"1,542.9","2,079.0",-0.2,-0.1,0.0,"1,488.5",237.0,0.4,0.0,0.1,-0.6,0.2,-2.5,14.8,0.0,0.0,0.1,35.4,0.0,0.0
10/17/2023 - 24,0.2,"2,867.4",956.8,1.0,"5,495.0",0.3,0.6,-0.1,"1,519.3","2,168.7",0.0,-0.1,0.0,375.4,228.5,0.3,0.0,0.1,-0.7,0.2,-2.3,15.0,0.0,0.0,0.1,28.5,0.0,0.1
10/17/2023 - 25,0.2,"2,358.2",983.6,4.6,"8,118.2",24.2,0.2,-0.1,"1,809.4","2,656.0",0.2,0.0,0.0,"34,408.1","2,064.4",3.4,0.2,0.1,-0.3,0.5,-2.2,19.1,0.0,0.0,0.3,91.9,0.0,0.0
10/17/2023 - 26,0.2,"2,668.4",974.6,1.3,"7,683.7",1.5,0.0,0.0,"1,767.5","2,595.3",0.0,-0.1,0.0,"26,901.0","1,787.9",2.7,0.2,0.2,7.8,0.4,-2.4,18.3,0.0,0.0,0.2,78.7,0.0,0.0
10/24/2023 - 1,0.4,"3,546.0","1,294.7",4.8,"7,667.9",25.7,0.3,0.1,"1,338.4","3,008.9",0.1,-0.1,0.0,520.3,170.0,0.3,0.1,0.9,3.8,0.1,-2.5,19.5,0.0,0.0,0.1,30.5,0.0,0.0
10/24/2023 - 2,0.4,"3,530.1","1,278.3",2.5,"7,667.8",4.3,0.5,0.1,"1,334.1","2,989.7",-0.1,-0.1,0.0,129.3,132.8,0.2,0.1,0.6,9.4,0.1,-2.4,19.5,0.0,0.0,0.0,29.9,0.0,0.0
10/24/2023 - 3,0.4,"3,493.2","1,280.3",4.4,"7,662.0",25.2,0.6,0.1,"1,327.1","2,973.0",0.0,-0.1,0.0,384.7,169.4,0.3,0.1,0.9,1.5,0.1,-2.4,19.6,0.0,0.0,0.0,30.6,0.0,0.0
10/24/2023 - 4,0.4,"4,139.2","1,306.4",1.9,"7,604.2",4.4,0.8,0.1,"1,243.9","3,165.1",-0.1,-0.1,0.0,80.2,133.2,0.2,0.1,0.7,0.1,0.1,-2.5,19.8,0.0,0.0,0.0,24.1,0.0,0.0
10/24/2023 - 5,0.4,"3,547.3","1,291.8",4.7,"7,685.8",25.4,0.8,0.1,"1,324.9","3,030.5",0.0,-0.1,0.1,380.1,174.5,0.3,0.1,1.0,1.6,0.1,-2.5,19.7,0.0,0.0,0.0,30.9,0.0,0.0
10/24/2023 - 6,0.4,"3,843.9","1,297.4",2.4,"7,654.2",3.2,0.9,0.1,"1,343.4","3,089.8",-0.1,-0.1,0.0,68.4,148.4,0.2,0.1,0.5,0.3,0.1,-2.4,19.9,0.0,0.0,0.0,28.0,0.0,0.0
10/24/2023 - 7,0.4,"3,512.6","1,286.2",7.8,"7,679.6",25.0,0.9,0.1,"1,329.3","3,014.1",0.0,-0.1,0.0,383.6,189.7,0.4,0.1,1.0,3.4,0.1,-2.6,19.6,0.0,0.0,0.0,31.3,0.0,0.0
10/24/2023 - 8,0.4,"3,837.7","1,290.8",2.8,"7,562.3",3.4,0.8,0.1,"1,319.3","3,097.2",0.2,-0.1,0.0,50.9,153.3,0.3,0.1,0.5,2.0,0.1,-2.2,19.8,0.0,0.0,0.0,26.2,0.0,0.1
10/24/2023 - 9,0.4,"3,432.7","1,303.1",4.7,"8,022.4",20.7,0.9,0.1,"1,291.8","3,138.7",0.1,-0.1,0.0,742.4,488.5,1.1,0.1,1.0,1.1,0.1,-2.4,20.8,0.0,0.0,0.0,41.0,0.0,0.0
10/24/2023 - 10,0.4,"3,725.5","1,321.5",1.7,"8,034.1",1.8,1.0,0.1,"1,318.2","3,265.9",0.0,-0.1,0.1,67.1,552.2,1.2,0.1,0.5,0.3,0.1,-2.7,21.3,0.0,0.0,0.0,39.0,0.0,0.0
10/24/2023 - 11,0.4,"3,342.0","1,326.6",4.8,"8,525.3",18.5,1.0,0.0,"1,286.6","3,332.5",0.2,-0.1,0.0,"1,331.9",879.7,2.1,0.1,0.8,2.3,0.1,-2.7,22.1,0.0,0.0,0.0,54.6,0.0,0.0
10/24/2023 - 12,0.4,"3,639.3","1,356.2",1.8,"8,584.3",1.3,0.9,0.1,"1,309.3","3,485.0",-0.1,-0.1,0.0,60.9,"1,003.5",2.3,0.2,0.4,18.9,0.1,-2.8,23.0,0.0,0.0,0.0,59.3,0.0,0.0
10/24/2023 - 13,0.4,"3,303.8","1,379.6",5.8,"9,060.2",17.5,1.0,0.0,"1,266.7","3,599.0",0.1,-0.1,0.3,"1,931.3","1,247.7",3.0,0.2,0.9,2.2,0.1,-2.9,23.7,0.0,0.0,0.0,67.6,0.0,0.0
10/24/2023 - 14,0.4,"3,751.9","1,406.0",1.6,"9,001.5",0.5,1.0,0.1,"1,299.9","3,685.4",0.0,-0.2,0.0,66.1,"1,324.5",3.1,0.2,0.4,9.5,0.1,-2.9,24.1,0.0,0.0,0.0,64.6,0.0,0.0
10/24/2023 - 19,0.2,"2,586.6",989.0,8.6,"5,808.9",10.2,0.8,-0.1,"1,640.0","2,195.4",-0.1,-0.1,0.0,"2,582.7",266.7,0.4,0.2,0.4,8.6,0.2,-2.7,15.6,0.0,0.0,0.0,37.9,0.1,0.0
10/24/2023 - 20,0.3,"3,359.0",996.7,2.4,"5,767.1",1.4,0.8,0.0,"1,373.5","2,306.3",-0.2,-0.2,0.0,"1,102.7",230.7,0.3,0.1,0.1,0.4,0.1,-2.7,15.6,0.0,0.0,0.0,27.3,0.0,0.0
10/24/2023 - 21,0.2,"2,508.8",961.0,7.9,"5,719.2",10.2,0.7,-0.1,"1,564.8","2,126.6",-0.2,-0.1,0.0,"2,504.3",259.4,0.4,0.1,0.1,3.3,0.2,-2.8,15.3,0.0,0.0,0.0,36.6,0.0,0.0
10/24/2023 - 22,0.3,"2,696.4",960.0,2.9,"5,661.2",1.2,0.7,-0.1,"1,579.1","2,166.8",0.0,-0.1,0.0,947.5,266.0,0.4,0.1,0.0,1.1,0.2,-2.3,15.2,0.0,0.0,0.1,33.5,0.0,0.1
10/24/2023 - 23,0.2,"2,480.6",949.0,7.4,"5,734.7",10.7,0.8,-0.1,"1,550.0","2,109.7",0.0,-0.1,0.0,"2,473.3",248.2,0.4,0.1,0.1,5.9,0.2,-2.8,15.2,0.0,0.0,0.1,36.3,0.0,0.0
10/24/2023 - 24,0.2,"3,066.6",971.8,2.3,"5,568.1",1.2,0.7,-0.1,"1,440.8","2,216.0",-0.2,-0.1,0.0,"1,043.5",225.7,0.3,0.1,0.0,1.4,0.2,-2.8,15.1,0.0,0.0,0.0,25.0,0.0,0.0
10/24/2023 - 25,0.2,"2,474.7",950.9,5.3,"5,905.6",12.1,0.7,-0.1,"1,563.7","2,184.6",-0.1,-0.1,0.0,"5,034.1",365.2,0.6,0.1,0.1,3.2,0.2,-2.8,15.5,0.0,0.0,0.0,41.5,0.0,0.0
10/24/2023 - 26,0.2,"2,800.8",970.4,2.2,"5,714.3",1.3,0.7,-0.1,"1,596.2","2,232.7",-0.3,-0.1,0.0,"1,971.3",362.6,0.6,0.1,0.0,1.9,0.1,-3.0,15.7,0.0,0.0,0.0,35.5,0.0,0.0
10/31/2023 - 1,0.5,"3,555.1","1,308.1",16.8,"6,911.1",51.8,0.9,0.1,"1,392.3","2,975.1",0.8,-0.1,0.1,384.5,80.1,0.2,0.9,2.2,14.1,0.1,-2.7,19.5,0.1,0.0,0.0,26.7,0.4,0.0
10/31/2023 - 2,0.4,"3,774.0","1,294.3",2.7,"6,825.6",4.3,0.9,0.2,"1,316.5","3,008.1",-0.2,-0.1,0.0,58.5,3.9,0.0,0.1,0.6,1.8,0.1,-2.8,19.3,0.0,0.0,0.0,19.5,0.0,0.0
10/31/2023 - 3,0.4,"3,538.0","1,296.0",4.4,"6,797.5",41.4,0.9,0.0,"1,350.5","2,964.4",-0.1,-0.1,0.0,330.7,92.9,0.2,0.1,0.9,0.6,0.1,-2.8,19.6,0.0,0.0,0.0,27.6,0.0,0.0
10/31/2023 - 4,0.4,"3,837.0","1,293.0",3.3,"6,666.3",5.2,0.8,0.1,"1,352.9","2,979.5",-0.1,-0.1,0.0,49.6,15.0,0.1,0.2,1.2,1.2,0.1,-2.7,19.0,0.0,0.0,0.0,20.8,0.0,0.0
10/31/2023 - 5,0.4,"3,521.4","1,293.6",4.7,"7,092.7",24.3,0.8,0.1,"1,318.6","3,002.0",0.0,-0.1,0.2,335.3,132.5,0.2,0.1,1.1,1.7,0.1,-2.8,19.9,0.0,0.0,0.0,30.1,0.0,0.0
10/31/2023 - 6,0.5,"3,882.0","1,299.6",2.3,"6,865.0",2.4,0.8,0.3,"1,288.2","3,048.0",0.1,-0.1,0.0,36.0,19.9,0.1,0.3,0.7,42.9,0.1,-2.5,20.1,0.0,0.0,0.1,24.3,0.0,0.1
10/31/2023 - 7,0.4,"3,461.1","1,270.1",4.4,"7,275.1",17.3,0.8,0.0,"1,271.9","2,950.7",0.1,-0.1,0.0,397.8,214.9,0.4,0.1,1.0,0.5,0.1,-2.5,19.7,0.0,0.0,0.0,32.7,0.0,0.0
10/31/2023 - 8,0.5,"3,800.0","1,303.2",2.4,"7,246.7",1.8,0.9,0.2,"1,280.7","3,065.3",-0.1,-0.1,0.0,55.9,120.0,0.2,0.1,0.8,29.3,0.1,-2.7,20.1,0.0,0.0,0.0,27.2,0.0,0.0
10/31/2023 - 9,0.4,"3,337.7","1,289.2",5.5,"8,066.2",18.2,1.0,0.0,"1,257.1","3,193.0",0.1,-0.1,0.0,"1,275.5",700.5,1.6,0.1,1.1,1.2,0.1,-2.8,21.3,0.0,0.0,0.0,49.0,0.0,0.0
10/31/2023 - 10,0.4,"3,674.1","1,319.8",1.9,"7,998.5",1.8,0.8,0.1,"1,277.9","3,250.7",-0.1,-0.1,0.0,130.6,676.1,1.4,0.1,0.6,6.5,0.1,-3.1,21.5,0.0,0.0,0.0,43.0,0.0,0.0
10/31/2023 - 11,0.4,"3,340.9","1,326.3",6.2,"8,443.6",18.0,0.9,0.0,"1,261.5","3,317.9",0.0,-0.1,0.0,"1,695.6",894.8,2.2,0.1,1.1,1.2,0.1,-2.9,22.0,0.0,0.0,0.0,55.3,0.0,0.0
10/31/2023 - 12,0.4,"3,637.2","1,327.4",3.5,"8,254.0",1.2,0.8,0.1,"1,258.1","3,329.2",-0.1,-0.2,0.0,107.7,837.5,1.9,0.3,0.6,7.2,0.1,-2.9,21.9,0.0,0.0,0.0,49.8,0.0,0.0
10/31/2023 - 13,0.4,"3,347.0","1,328.2",5.9,"8,309.5",17.9,0.9,0.0,"1,252.2","3,296.2",0.0,-0.1,0.0,"1,618.3",862.9,2.1,0.1,1.1,0.9,0.1,-2.9,21.7,0.0,0.0,0.0,54.1,0.0,0.0
