ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/26/2023 - 24,0.2,"2,549.3",926.0,1.9,"5,319.7",0.8,0.3,0.1,"1,574.7","2,249.0",-0.1,-0.1,0.0,"2,948.9","1,078.6",1.3,0.2,0.2,6.6,-0.3,-2.4,15.6,0.0,0.0,0.0,56.0,0.1,0.0
09/26/2023 - 25,0.2,"2,236.3",933.6,9.7,"8,368.9",24.0,-0.1,0.0,"1,747.7","2,618.9",0.4,0.1,0.1,"37,123.3","2,255.3",3.8,0.4,0.4,4.7,0.0,-2.5,18.5,0.0,0.0,0.0,80.3,0.1,0.0
09/26/2023 - 26,0.2,"2,563.5",936.9,1.9,"8,223.7",3.2,-0.4,0.0,"1,712.7","2,644.9",0.2,0.0,0.1,"33,812.3","2,207.7",3.5,0.3,0.2,10.3,0.0,-2.4,18.5,0.0,0.0,0.1,77.6,0.1,0.0
10/03/2023 - 2,0.5,"3,920.6","1,264.7",2.9,"7,951.8",4.1,-0.1,0.3,"1,228.0","2,920.9",0.1,-0.1,0.0,222.7,7.4,0.1,0.2,0.8,3.7,-0.4,-2.2,18.4,0.0,0.0,0.0,18.3,0.1,0.0
10/03/2023 - 3,0.4,"3,390.6","1,207.1",4.9,"7,870.3",23.9,0.0,0.2,"1,247.6","2,789.7",0.1,-0.1,0.1,334.7,28.5,0.1,0.2,1.1,3.6,-0.4,-2.2,18.3,0.0,0.0,0.0,25.2,0.1,0.0
10/03/2023 - 4,0.4,"3,580.2","1,227.4",2.7,"7,821.0",3.3,0.1,0.2,"1,263.2","2,806.7",0.0,-0.1,0.1,94.1,6.7,0.1,0.1,0.6,0.9,-0.4,-2.3,18.3,0.0,0.0,0.0,22.4,0.1,0.0
10/03/2023 - 7,0.4,"3,162.6","1,316.3",5.5,"9,229.4",28.4,0.4,0.2,"1,245.6","3,439.6",0.2,0.0,0.7,"3,777.0","1,301.5",2.5,0.3,0.7,3.8,-0.4,-2.3,22.4,0.0,0.0,0.0,71.3,0.1,0.0
10/03/2023 - 8,0.4,"3,587.9","1,294.1",2.1,"8,782.8",1.4,0.3,0.2,"1,271.4","3,265.7",0.1,-0.1,0.0,"1,109.0",995.4,1.9,0.2,0.3,3.5,-0.5,-2.3,21.3,0.0,0.0,0.0,55.5,0.1,0.0
10/03/2023 - 9,0.4,"3,186.1","1,311.8",4.4,"8,932.9",16.2,0.5,0.2,"1,212.0","3,399.2",0.2,-0.1,0.1,"2,180.1","1,102.5",2.3,0.3,0.7,3.9,-0.5,-2.5,22.4,0.0,0.0,0.0,62.7,0.1,0.0
10/03/2023 - 10,0.4,"3,430.9","1,293.6",2.7,"8,702.9",2.0,0.5,0.2,"1,246.2","3,354.2",0.1,-0.1,0.1,278.8,"1,069.6",2.2,0.2,0.5,7.1,-0.5,-2.4,21.9,0.0,0.0,0.0,59.7,0.1,0.0
