ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Nov,[Note:  4 samples had solids in the bottom so I didn't run those],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/15/2020 - 12,0.3,"2,675.8","1,173.6",13.6,"7,868.7",0.4,0.2,-0.5,"1,197.2","3,230.1",0.7,0.0,0.1,433.4,"1,300.4",3.2,0.2,0.2,15.4,0.1,0.8,21.0,0.0,0.0,0.0,0.0,62.6,0.2,0.0
09/15/2020 - 13,0.3,"2,665.0","1,186.7",21.3,"8,374.9",50.2,0.3,-0.5,"1,215.7","3,372.2",1.0,0.1,0.1,"8,249.5","1,421.5",3.9,0.3,0.8,1.9,0.2,0.9,21.9,0.0,0.0,0.0,-0.1,88.5,0.2,0.0
09/15/2020 - 14,0.3,"2,687.6","1,187.4",16.3,"8,102.9",0.0,0.3,-0.5,"1,213.6","3,304.5",0.7,0.0,0.1,"4,169.9","1,392.9",3.7,0.2,0.2,12.4,0.1,0.8,21.6,0.0,0.0,0.0,-0.1,67.0,0.2,0.0
09/15/2020 - 15,0.5,"3,206.9",781.5,79.1,"10,080.1",14.2,0.1,-0.8,"1,021.9","1,921.5",2.1,0.2,0.2,132.6,15.4,0.1,0.1,0.3,0.3,0.0,0.8,12.0,0.0,0.0,0.0,-0.1,15.6,0.3,0.0
09/15/2020 - 16,0.5,"3,229.4",769.6,19.2,"10,180.9",11.2,0.3,-0.7,"1,029.6","1,906.5",0.9,0.1,0.1,2.6,0.9,0.0,0.1,0.3,0.5,0.0,0.9,11.8,0.0,0.0,0.0,-0.1,13.7,0.2,0.0
09/15/2020 - 29,0.6,"3,025.8",815.8,224.2,"9,692.0",19.8,0.0,-0.7,"1,126.9","1,981.8",5.1,0.5,0.3,459.5,56.5,0.2,0.4,0.9,4.0,0.1,0.7,12.3,0.0,0.0,0.1,-0.1,18.7,0.7,0.0
09/15/2020 - 30,0.7,"3,021.3",830.4,342.0,"9,690.0",24.7,0.1,-0.8,"1,121.3","2,033.3",7.8,0.8,0.5,708.3,89.8,0.3,0.4,1.3,6.6,0.1,0.7,12.8,0.0,0.0,0.1,0.2,22.8,0.9,0.0
09/16/2020 - 19,0.2,"1,978.8",775.3,25.9,"5,450.2",11.9,-0.1,-0.6,"1,330.3","1,650.1",0.6,0.1,0.1,518.9,65.1,0.1,0.2,1.0,5.8,0.2,0.8,10.8,0.0,0.0,0.0,0.1,23.9,0.3,0.0
09/16/2020 - 20,0.2,"2,293.0",738.2,13.9,"5,316.5",0.4,-0.3,-0.6,"1,256.3","1,580.9",0.5,0.1,0.1,113.1,1.1,0.0,0.1,2.0,11.0,0.1,0.7,10.2,0.0,0.0,0.0,0.0,23.5,0.2,0.0
09/16/2020 - 21,0.2,"1,928.4",765.2,24.5,"5,438.9",9.3,-0.2,-0.7,"1,289.0","1,601.1",0.6,0.1,0.1,504.5,69.3,0.1,0.1,0.5,0.8,0.1,0.8,10.6,0.0,0.0,0.0,0.0,23.6,0.2,0.0
09/16/2020 - 22,0.2,"2,005.8",743.0,15.5,"5,400.4",0.4,-0.2,-0.6,"1,283.1","1,527.5",0.5,0.1,3.0,68.2,2.6,0.0,0.9,0.3,5.4,0.1,0.8,10.0,0.0,0.0,0.0,0.0,21.3,0.2,0.0
09/16/2020 - 23,0.2,"1,816.6",753.3,18.8,"5,228.7",9.1,0.0,-0.7,"1,287.3","1,839.2",0.5,0.1,0.1,"1,439.0",895.7,1.4,0.1,0.2,0.6,0.1,0.8,12.0,0.0,0.0,0.0,-0.1,46.2,0.3,0.0
09/16/2020 - 24,0.2,"1,921.8",761.7,18.3,"5,193.3",-0.1,0.0,-0.6,"1,340.4","1,844.6",0.4,0.0,0.1,706.1,870.4,1.4,0.2,0.9,13.8,0.1,0.8,11.9,0.0,0.0,0.0,-0.1,44.7,0.2,0.0
09/16/2020 - 25,0.2,"2,025.2",800.4,30.4,"6,570.9",8.8,-0.2,-0.6,"1,430.6","2,343.3",0.7,0.3,0.1,"25,213.2","1,407.2",1.9,0.4,1.9,9.2,0.3,0.9,15.1,0.3,0.0,0.0,0.0,87.2,0.4,0.0
09/16/2020 - 26,0.2,"1,957.7",796.8,23.9,"6,554.4",0.7,-0.1,-0.6,"1,357.0","2,308.2",0.7,0.2,0.1,"24,269.9","1,403.5",1.9,0.2,0.2,16.9,0.3,0.9,15.1,0.3,0.0,0.0,-0.1,89.5,0.2,0.0
09/16/2020 - 27,0.2,"1,948.5",804.8,27.2,"6,831.9",10.3,-0.2,-0.7,"1,371.4","2,401.8",0.8,0.3,0.1,"29,492.4","1,493.0",2.0,0.3,0.5,1.2,0.4,1.0,15.7,0.4,0.0,0.0,-0.1,99.4,0.3,0.0
09/16/2020 - 28,0.2,"1,974.7",805.1,14.8,"6,684.8",2.4,-0.2,-0.6,"1,352.8","2,364.3",0.6,0.2,0.1,"27,275.5","1,479.0",1.9,0.2,0.1,18.0,0.4,0.9,15.7,0.4,0.0,0.0,0.2,102.5,0.2,0.0
09/21/2020 - 1,0.4,"2,625.5",997.1,25.7,"7,399.0",19.6,0.4,-0.5,"1,222.4","2,326.6",0.8,0.1,0.1,491.8,118.9,0.3,0.1,0.8,0.7,0.1,0.8,15.0,0.0,0.0,0.0,0.0,24.7,0.2,0.0
09/21/2020 - 2,0.4,"2,632.0",984.0,22.2,"7,428.0",1.8,0.2,-0.4,"1,194.4","2,351.6",0.8,0.1,0.1,132.5,8.8,0.1,0.1,1.6,8.0,0.1,0.9,14.7,0.0,0.0,0.0,0.0,21.9,0.3,0.0
09/21/2020 - 3,0.4,"2,655.3","1,016.4",25.2,"7,532.9",21.8,0.4,-0.4,"1,248.8","2,396.2",0.9,0.2,0.2,524.0,125.0,0.3,0.2,0.9,1.0,0.1,0.8,15.2,0.0,0.0,0.0,0.0,25.1,0.3,0.0
09/21/2020 - 4,0.4,"2,621.0",983.2,17.0,"7,414.5",2.2,0.2,-0.5,"1,184.7","2,294.4",0.9,0.1,0.1,130.5,4.9,0.0,0.1,0.7,12.3,0.1,0.8,14.7,0.0,0.0,0.0,0.0,24.3,0.3,0.0
09/21/2020 - 5,0.4,"2,644.3","1,056.8",38.3,"7,526.5",24.0,0.4,-0.4,"1,289.3","2,671.0",0.9,0.1,0.1,"1,727.2",771.3,1.7,0.1,0.9,2.8,0.1,0.9,17.1,0.0,0.0,0.0,0.0,42.8,0.3,0.0
09/21/2020 - 6,0.4,"2,700.1","1,093.2",23.2,"7,731.8",1.1,0.3,-0.2,"1,304.2","2,828.5",0.7,0.1,0.1,"1,788.9","1,053.0",2.3,0.1,0.5,26.8,0.1,0.9,18.4,0.0,0.0,0.0,-0.1,52.1,0.2,0.0
09/21/2020 - 7,0.4,"2,732.3","1,123.9",23.0,"7,942.9",28.0,0.2,-0.3,"1,287.0","2,961.5",0.9,0.1,0.1,"2,243.1",955.9,2.0,0.1,0.7,1.1,0.1,0.9,19.1,0.0,0.0,0.0,-0.1,45.1,0.3,0.0
09/21/2020 - 8,0.4,"2,648.9","1,089.9",15.3,"7,725.4",0.6,0.2,-0.4,"1,225.3","2,797.8",-2.0,0.0,0.1,"1,078.9",860.2,1.8,0.1,0.4,23.4,0.1,0.8,18.3,0.0,0.0,0.0,-0.1,45.4,0.2,0.0
09/21/2020 - 9,0.4,"2,719.7","1,164.2",26.5,"8,042.9",21.0,0.1,-0.4,"1,234.5","3,188.1",0.8,0.1,0.1,"2,868.5","1,288.5",2.9,0.2,0.7,1.8,0.1,0.9,20.6,0.0,0.0,0.0,-0.1,50.6,0.3,0.0
09/21/2020 - 10,0.4,"2,748.1","1,181.7",23.1,"8,022.5",1.9,0.0,-0.3,"1,223.1","3,234.2",0.8,0.1,0.1,"1,387.8","1,284.1",2.9,0.2,0.4,33.0,0.1,0.8,20.9,0.0,0.0,0.0,0.3,54.1,0.3,0.0
09/21/2020 - 11,0.3,"2,701.1","1,189.3",23.4,"8,326.2",39.4,0.1,-0.5,"1,221.1","3,326.8",0.9,0.1,0.1,"6,123.9","1,389.7",3.7,0.2,0.7,1.5,0.2,0.8,21.4,0.0,0.0,0.0,0.1,64.9,0.2,0.0
09/21/2020 - 12,0.3,"2,704.4","1,185.4",24.1,"8,158.8",0.9,0.1,-0.5,"1,217.1","3,283.2",0.9,0.0,0.2,"3,441.9","1,343.6",3.6,0.2,0.3,17.1,0.1,0.9,21.2,0.0,0.0,0.0,0.0,60.8,0.2,0.0
09/21/2020 - 13,0.3,"2,670.1","1,215.9",44.2,"8,175.9",48.7,0.1,-0.5,"1,268.8","3,537.7",1.5,0.2,0.1,"18,466.1","1,542.0",4.2,0.4,1.6,1.7,0.3,1.0,23.6,0.2,0.0,0.0,0.0,87.1,0.3,0.0
09/21/2020 - 14,0.3,"2,675.0","1,205.8",19.2,"8,145.7",8.3,0.2,-0.5,"1,258.5","3,485.8",0.8,0.1,0.1,"15,585.1","1,526.1",4.1,0.3,0.2,6.9,0.2,1.0,23.3,0.1,0.0,0.0,0.0,79.8,0.3,0.0
09/30/2020 - 1,0.4,"2,582.3",995.9,28.6,"7,489.2",16.9,0.2,-0.6,"1,207.3","2,356.5",0.9,0.1,0.1,375.3,51.7,0.1,0.1,0.8,2.5,0.1,0.9,14.9,0.0,0.0,0.0,-0.1,22.2,0.3,0.0
09/30/2020 - 2,0.4,"2,604.2",978.0,18.1,"7,431.4",0.8,0.0,-0.3,"1,172.4","2,316.7",0.7,0.1,0.1,49.6,4.6,0.0,0.1,0.6,26.0,0.1,1.0,14.8,0.0,0.0,0.0,-0.1,21.6,0.3,0.0
09/30/2020 - 3,0.4,"2,709.0","1,032.7",47.0,"7,764.1",19.2,0.2,-0.2,"1,261.7","2,455.7",1.0,0.1,0.1,387.6,53.1,0.1,0.2,1.0,4.1,0.1,0.9,15.4,0.0,0.0,0.0,0.1,22.7,2.0,0.0
09/30/2020 - 4,0.4,"2,594.9",976.3,16.4,"7,413.9",0.8,0.0,-0.5,"1,156.4","2,310.9",0.7,0.1,0.1,63.2,3.0,0.0,0.1,0.6,3.8,0.1,0.9,14.8,0.0,0.0,0.0,-0.1,20.4,0.3,0.0
09/30/2020 - 5,0.4,"2,604.0","1,026.7",28.2,"7,598.7",20.6,0.1,-0.5,"1,239.6","2,562.7",0.9,0.1,0.1,499.8,580.1,1.0,0.1,0.8,1.4,0.1,1.0,16.1,0.0,0.0,0.0,-0.1,34.3,0.3,0.0
09/30/2020 - 6,0.4,"2,635.5","1,016.4",24.8,"7,576.4",1.1,0.0,-0.3,"1,197.7","2,473.5",0.7,0.0,0.1,53.2,533.2,0.9,0.1,0.5,7.9,0.1,1.0,15.8,0.0,0.0,0.0,0.3,34.0,0.3,0.0
09/30/2020 - 7,0.4,"2,764.8","1,114.8",47.9,"8,053.4",24.3,0.2,-0.2,"1,296.3","2,948.0",1.1,0.1,0.1,"2,334.5","1,082.9",2.2,0.2,0.9,6.2,0.1,0.9,18.5,0.0,0.0,0.0,0.2,47.6,0.3,0.0
09/30/2020 - 8,0.4,"2,678.0","1,090.3",19.1,"7,841.0",3.8,0.0,-0.4,"1,225.4","2,880.7",0.8,0.1,0.1,"2,051.3","1,074.5",2.1,0.1,0.4,9.4,0.1,0.9,18.5,0.0,0.0,0.0,4.9,47.5,27.5,0.0
09/30/2020 - 9,0.3,"2,708.5","1,189.0",22.5,"8,100.5",19.5,0.0,-0.5,"1,241.2","3,305.6",0.9,0.1,0.1,"2,896.5","1,351.7",3.2,0.2,0.5,1.4,0.1,0.9,21.4,0.0,0.0,0.0,0.2,56.3,0.3,0.0
09/30/2020 - 10,0.3,"2,701.1","1,174.7",15.8,"7,944.6",1.1,-0.1,-0.4,"1,215.2","3,244.6",0.7,0.0,0.1,"1,017.0","1,332.6",3.1,0.2,0.2,10.4,0.1,0.9,21.2,0.0,0.0,0.0,0.0,54.9,0.3,0.0
09/30/2020 - 11,0.3,"2,648.7","1,148.0",21.9,"7,859.2",18.1,0.0,-0.5,"1,212.2","3,156.7",0.8,0.1,0.1,"2,277.9","1,170.5",2.9,0.2,0.5,1.5,0.1,1.0,20.6,0.0,0.0,0.0,0.0,51.4,0.3,0.0
09/30/2020 - 12,0.4,"2,833.8","1,196.6",59.7,"7,949.7",0.6,0.1,-0.3,"1,272.1","3,281.8",0.8,0.0,0.1,242.5,"1,194.3",2.9,0.3,0.7,9.6,0.1,0.9,20.9,0.0,0.0,0.0,0.0,52.8,0.3,0.0
09/30/2020 - 13,0.3,"2,656.3","1,195.6",18.1,"7,992.8",17.6,0.0,-0.5,"1,199.7","3,349.7",0.8,0.1,0.1,"2,606.1","1,402.0",3.5,0.2,0.4,1.8,0.1,0.9,21.6,0.0,0.0,0.0,0.0,58.8,0.3,0.0
09/30/2020 - 14,0.3,"2,774.9","1,204.8",25.0,"7,961.8",0.9,0.1,-0.4,"1,260.3","3,388.6",0.7,0.0,0.1,88.6,"1,414.2",3.5,0.6,1.3,23.6,0.1,0.9,22.0,0.0,0.0,0.0,-0.1,58.9,0.3,0.0
09/30/2020 - 15,0.6,"2,841.0",739.2,150.6,"9,294.5",14.7,0.3,-0.8,967.1,"1,855.6",3.2,0.3,0.2,224.3,21.9,0.1,0.2,0.4,1.9,0.0,0.8,11.6,0.0,0.0,0.0,-0.1,16.8,0.5,0.0
09/30/2020 - 16,0.5,"2,919.2",733.8,33.5,"9,248.4",10.1,0.5,-0.6,999.8,"1,906.0",1.0,0.1,0.2,23.0,1.7,0.0,0.2,0.5,27.5,0.0,0.9,11.4,0.0,0.0,0.0,-0.1,14.4,0.4,0.0
