ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Nov,[Note:  4 samples had solids in the bottom so I didn't run those],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/03/2020 - 20,0.2,"2,077.3",718.4,24.2,"5,255.0",1.1,0.4,-0.1,"1,300.2","1,481.3",0.7,0.1,0.2,204.3,2.8,0.0,0.2,1.6,8.7,0.1,0.6,9.9,0.0,0.0,0.2,0.0,18.7,0.4,0.0
09/03/2020 - 21,0.2,"1,890.0",757.8,24.7,"5,271.9",8.2,0.4,-0.3,"1,279.1","1,589.3",0.6,0.1,0.1,488.8,33.8,0.1,0.1,0.2,0.0,0.1,0.6,10.6,0.0,0.0,0.0,-0.1,23.6,0.2,0.0
09/03/2020 - 22,0.2,"1,944.0",765.4,15.3,"5,291.2",0.0,0.4,-0.3,"1,286.9","1,582.7",0.5,0.1,0.1,119.1,4.0,0.0,0.1,0.5,4.9,0.1,0.7,10.5,0.0,0.0,0.0,0.2,23.0,0.2,0.0
09/03/2020 - 23,0.2,"1,781.0",742.9,19.7,"5,042.7",7.9,0.7,-0.5,"1,256.7","1,860.8",0.5,0.0,0.2,737.8,"1,107.0",1.8,0.1,0.1,0.1,0.1,0.6,12.0,0.0,0.0,0.0,0.1,48.0,0.2,0.0
09/03/2020 - 24,0.2,"1,874.9",754.1,24.3,"5,080.7",-0.5,0.6,-0.4,"1,297.1","1,856.9",0.5,0.0,0.1,72.6,997.8,1.5,0.1,0.7,15.1,0.1,0.6,12.1,0.0,0.0,0.0,0.1,45.7,0.2,0.0
09/03/2020 - 25,0.2,"1,922.2",790.1,26.6,"6,515.4",10.3,0.2,-0.4,"1,353.9","2,260.4",0.7,0.3,0.1,"21,379.4","1,347.4",2.0,0.3,0.3,2.8,0.4,0.7,14.6,0.3,0.1,0.0,0.1,79.0,0.2,0.0
09/03/2020 - 26,0.2,"1,938.2",793.9,17.2,"6,466.7",0.6,0.3,-0.4,"1,358.2","2,257.7",0.7,0.2,0.2,"20,737.2","1,359.1",1.9,0.2,0.1,11.4,0.3,0.8,14.8,0.3,0.0,0.0,0.0,79.4,0.2,0.0
09/03/2020 - 27,0.2,"1,965.2",806.6,26.4,"6,791.4",10.6,0.4,-0.4,"1,376.2","2,356.0",0.8,0.3,0.2,"24,946.1","1,426.2",2.0,0.3,0.3,0.4,0.4,0.9,15.4,0.3,0.0,0.0,0.0,89.7,0.2,0.0
09/09/2020 - 1,0.4,"2,567.0",936.2,23.7,"7,116.7",14.4,0.8,-0.4,"1,193.3","2,092.9",0.8,0.2,0.1,344.5,16.2,0.1,0.1,1.0,0.6,0.1,0.7,13.3,0.0,0.0,0.0,0.0,17.2,0.3,0.0
09/09/2020 - 2,0.4,"2,588.2",915.8,19.6,"7,120.4",1.2,0.6,-0.4,"1,153.5","1,977.4",0.7,0.2,0.1,157.1,3.5,0.1,0.1,1.3,5.2,0.1,0.6,12.7,0.0,0.0,0.0,-0.1,16.9,0.2,0.0
09/09/2020 - 3,0.4,"2,536.7",946.0,25.0,"7,129.0",15.5,0.8,-0.4,"1,187.4","2,124.5",0.8,0.2,0.1,340.4,17.1,0.1,0.1,1.0,0.0,0.1,0.7,13.5,0.0,0.0,0.0,-0.1,17.7,0.2,0.0
09/09/2020 - 4,0.4,"2,540.4",910.7,26.1,"7,089.0",2.4,0.6,-0.4,"1,133.3","1,967.2",0.8,0.2,0.1,153.5,2.3,0.1,21.2,7.0,10.1,0.1,0.8,12.7,0.0,0.0,0.0,0.0,16.4,0.3,0.0
09/09/2020 - 5,0.4,"2,588.8","1,080.2",23.9,"7,368.3",25.0,0.7,-0.2,"1,306.1","2,743.1",0.9,0.1,0.1,"2,221.8",705.4,1.5,0.1,0.7,1.8,0.1,0.7,17.8,0.0,0.0,0.0,0.3,43.5,0.2,0.0
09/09/2020 - 6,0.4,"2,608.3","1,087.8",16.1,"7,339.0",-0.3,0.7,-0.2,"1,309.5","2,844.9",0.7,0.0,0.1,"1,263.2",792.0,1.7,0.1,0.4,3.9,0.1,0.8,18.4,0.0,0.0,0.0,0.1,47.5,0.2,0.0
