ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick 19,0.3,"2,662.9","1,025.7",18.1,"7,741.1",12.5,-0.3,0.3,"1,305.8","2,371.9",0.6,0.1,0.1,321.3,62.8,0.1,0.0,0.4,-5.4,0.1,-0.2,15.5,-0.3,0.0,0.0,-0.3,21.6,0.1,0.0
Nick 20,0.3,"2,669.7","1,015.2",23.7,"7,787.5",-2.3,-0.3,0.3,"1,272.3","2,334.4",-3.3,0.1,0.1,76.0,17.7,0.0,0.0,0.3,-5.0,0.1,-0.3,15.2,-0.3,0.0,0.0,-0.4,19.4,0.1,0.0
Nick 21,0.3,"2,697.4","1,060.0",19.0,"7,931.5",11.0,-0.4,0.4,"1,317.6","2,535.1",0.8,0.2,0.1,"1,053.8",467.0,1.0,0.0,0.5,-5.2,0.1,-0.2,16.6,-0.3,0.0,0.0,-0.4,32.0,0.2,0.0
Nick 22,0.3,"2,656.8","1,073.2",13.7,"7,841.3",-6.0,-0.6,0.3,"1,262.7","2,694.9",-3.9,0.1,0.1,"1,051.8",931.4,2.1,0.0,0.0,-4.8,0.1,-0.3,18.0,-0.3,0.0,0.0,0.3,44.2,0.2,0.0
Nick 23,0.2,"2,690.6","1,171.7",13.0,"7,709.7",19.2,-0.6,0.3,"1,283.8","3,143.5",0.7,0.2,0.2,"3,489.9","1,370.4",3.3,0.1,0.3,-4.3,0.1,-0.5,21.3,-0.3,0.0,0.0,0.0,59.8,0.2,0.0
Nick 24,0.3,"2,666.7","1,169.7",12.2,"7,699.5",-6.9,-0.7,0.4,"1,263.9","3,182.3",0.4,0.1,0.1,140.1,"1,475.4",3.5,0.1,-0.1,13.5,0.1,-0.5,21.6,-0.3,0.0,0.0,-0.2,62.1,0.1,0.0
Nick 25,0.3,"2,784.3","1,229.8",16.1,"8,147.5",16.7,-0.6,0.4,"1,312.9","3,362.2",0.6,0.1,0.2,"4,026.2","1,585.9",3.8,0.1,0.3,-3.1,0.2,-0.1,22.8,-0.3,0.0,0.0,-0.2,65.8,0.1,0.0
Nick 26,0.2,"2,684.1","1,184.5",14.3,"7,750.0",-6.7,-0.7,0.4,"1,282.9","3,268.9",0.4,0.1,0.2,13.2,"1,527.2",3.6,0.1,-0.1,10.9,0.1,-0.4,22.2,-0.3,0.0,0.0,-0.3,63.2,0.1,0.0
Nick 27,0.3,"2,703.8","1,188.3",17.8,"7,815.0",22.7,-0.6,0.3,"1,291.8","3,200.8",0.7,0.2,0.2,"3,663.9","1,441.1",3.4,0.1,0.3,-4.5,0.1,-0.4,21.7,-0.3,0.0,0.0,-0.2,60.9,0.3,0.0
Nick 28,0.2,"2,748.4","1,219.0",12.1,"7,546.0",-5.7,-0.7,0.3,"1,322.1","3,319.0",0.4,0.1,0.3,22.4,"1,495.6",3.5,0.1,0.0,33.1,0.1,-0.3,22.4,-0.3,0.0,0.0,-0.3,63.5,0.3,0.0
