ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick/Steve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.4,2638.8,955.8,16.6,7789.6,11.9,0.4,1,943.3,2223,0.7,0.1,0.1,1197.6,346.9,0.8,0.2,0.5,5.6,0.1,0.1,14.6,0.4,0,0,-0.1,24.5,1.1,0
25,0.4,2589.8,959.6,21,7818.7,29.2,0.4,1,971.3,2297.5,0.9,0.1,0.2,3689,594.5,1.5,0.2,1.2,2.9,0.1,0.1,15.5,0.1,0,0,-0.1,30.9,1.1,0
26,0.3,2559.2,950.6,17.1,7769.1,16.6,0.3,1,973.3,2296.9,0.7,0.1,0.3,3372.5,589.3,1.4,0.3,0.4,5.9,0.1,0,15.4,0.1,0,0,-0.1,29.2,1.2,0
27,0.4,2585.5,973.9,20,7903.1,31.1,0.4,1,989.9,2339.8,0.8,0.1,0.1,4969.1,694.6,1.8,0.2,1.2,3.5,0.1,0,15.9,0.1,0,0,-0.1,33.6,1.2,0
28,0.4,2583.6,972.7,15.4,7820.4,19.5,0.3,1,981.7,2326.3,0.7,0.1,0.2,4781.2,693.3,1.7,0.2,0.4,5.9,0.1,-0.1,15.8,0.2,0,0,-0.1,32.1,1.1,0
29,0.5,2912.8,956.9,71.7,8861.4,45.3,0.3,0.9,1060.4,2053.4,2,0.4,0.3,594.2,33.7,0.2,0.4,1.1,3.5,0.1,0,13.4,0.1,0,0,0,11.6,1.2,0
30,0.4,2923.1,846,65.6,8857.4,14.6,0.1,1.1,936.4,1794.5,1.3,0.4,0.4,410.3,12.9,0.2,0.3,1.2,8.6,0.1,0,12,0.2,0,0,0,8.9,1.2,0
31,0.5,2927.4,973.8,65.7,8887,37.5,0.2,0.9,1014.7,2111.5,-0.3,0.4,0.2,551.7,32.4,0.2,0.2,1,3.9,0.1,-0.1,13.8,0,0,0,0,12.4,1.2,0
32,0.4,2903,890.4,31.1,8799.2,11.8,0,0.9,928.7,1893.9,0.9,0.3,0.2,342.7,7.8,0.1,0.1,0.8,2.9,0.1,0,12.8,0.1,0,0,-0.1,9.3,1.1,0
33,0.4,2736.1,953.4,32.7,7978.4,24,0.1,0.9,881.9,2144.2,1.2,0.2,0.2,428.2,37,0.1,0.2,1.1,6.4,0.1,0,14.3,0,0,0,-0.1,18,1.2,0
34,0.4,2766.3,956.1,23.1,8046.8,10,0.1,0.9,852.2,2133.7,0.7,0.1,0.2,117.9,8.2,0.1,0.1,0.6,4.4,0,-0.1,14.1,1,0,0,-0.1,16,1.1,0
