DateTime,Depth_m,Temp_C,Chla_ugL,Turbidity_NTU,Cond_uScm,SpCond_uScm,DO_mgL,DOsat_percent,pH,ORP_mV,PAR,Salinity,DescRate_ms ,Flag
2024-03-18T10:14:58Z,-0.131,11.1207,5.319,9.1373,20.819421,28.807,9.9141,90.509,6.931,291.3256,163.14,2.084877858461674,0.073,0
2024-03-18T10:14:58Z,-0.097,11.1203,5.3671,9.1385,20.820573,28.806,9.9191,90.621,6.932,291.6098,152.44,2.084822276859817,0.073,0
2024-03-18T10:14:58Z,-0.075,11.122,5.4383,9.0379,20.80914,28.79,9.9294,90.695,6.934,291.7029,146.29,2.0835003817590145,0.068,0
2024-03-18T10:14:58Z,-0.062,11.1277,5.4725,8.9114,20.807998,28.789,9.9351,90.742,6.936,291.677,143.64,2.0831040691702833,0.057,0
2024-03-18T10:14:58Z,-0.054,11.1344,5.4894,8.9073,20.806759,28.788,9.9493,90.79,6.937,291.5546,143.34,2.082651990624076,0.044,0
2024-03-18T10:14:58Z,-0.049,11.137,5.5345,8.9543,20.794165,28.773,9.9623,90.83,6.938,291.4278,144.74,2.0813574430073487,0.034,0
2024-03-18T10:14:58Z,-0.043,11.1371,5.5767,8.9323,20.782532,28.758,9.9699,90.842,6.94,291.2619,147.3,2.0802027971616432,0.031,0
2024-03-18T10:14:58Z,-0.036,11.1361,5.5756,8.8809,20.792908,28.773,9.9735,90.834,6.941,291.0111,148.6,2.0814073993160846,0.031,0
2024-03-18T10:14:58Z,-0.027,11.1343,5.5616,8.8456,20.792803,28.774,9.9797,90.81,6.944,290.8049,148.65,2.0815844149858727,0.033,0
2024-03-18T10:14:58Z,-0.018,11.1326,5.5652,8.8461,20.781265,28.758,9.9866,90.785,6.946,290.7477,147.56,2.080453674101254,0.038,0
2024-03-18T10:14:58Z,-0.008,11.1313,5.5607,8.8879,20.780217,28.755,9.9862,90.765,6.947,290.7492,146.66,2.0802963090906825,0.041,0
2024-03-18T10:14:58Z,0.003,11.1301,5.5323,8.9064,20.780131,28.754,9.9868,90.749,6.947,290.909,146.1,2.0802865155262364,0.042,0
2024-03-18T10:14:58Z,0.015,11.1291,5.497,8.8987,20.780227,28.752,9.9829,90.756,6.947,291.3039,145.87,2.080188897748571,0.04,0
2024-03-18T10:14:58Z,0.029,11.1287,5.4831,8.8979,20.781378,28.753,9.9799,90.769,6.947,291.738,146.32,2.080287377752884,0.036,0
2024-03-18T10:14:58Z,0.04,11.1299,5.4733,8.8966,20.79405,28.773,9.9789,90.763,6.947,292.1141,146.15,2.081751987588283,0.03,0
2024-03-18T10:14:58Z,0.046,11.1324,5.4451,8.8827,20.806625,28.793,9.9735,90.71,6.946,292.4095,145.97,2.083143951489998,0.024,0
2024-03-18T10:14:58Z,0.049,11.1349,5.4256,8.8668,20.806625,28.794,9.9762,90.635,6.944,292.6423,147.05,2.083080506332721,0.02,0
2024-03-18T10:14:58Z,0.049,11.1357,5.4206,8.8758,20.79405,28.777,9.9773,90.595,6.94,292.8633,147.96,2.081733483066513,0.02,0
2024-03-18T10:14:58Z,0.05,11.1319,5.4511,8.8884,20.781388,28.758,9.9796,90.578,6.939,293.0172,149.39,2.080490803632412,0.021,0
2024-03-18T10:14:58Z,0.055,11.1268,5.5027,8.8821,20.78034,28.756,9.9747,90.577,6.939,293.1262,151.33,2.08062289672886,0.023,0
2024-03-18T10:14:58Z,0.068,11.1257,5.52,8.8678,20.781379,28.756,9.9613,90.627,6.94,293.2349,152.04,2.0806838464342037,0.023,0
